Systematic name 1	Systematic name 2	Pair is WGD	Pair is SL (NaN indicates pair was not screened)
YHL012W	YKL035W	1	0
YHL017W	YKL039W	1	0
YHL033C	YLL045C	1	1
YHL035C	YLL048C	1	0
YHR001W	YKR003W	1	NaN
YHR003C	YKL027W	1	0
YHR021C	YKL156W	1	0
YHR047C	YKL157W	1	0
YHR117W	YNL121C	1	1
YHR123W	YNL130C	1	0
YHR133C	YNL156C	1	0
YHR141C	YNL162W	1	NaN
YHR155W	YNL257C	1	NaN
YHR203C	YJR145C	1	0
YHR208W	YJR148W	1	1
YIL085C	YNL029C	1	0
YIL109C	YNL049C	1	0
YIL111W	YNL052W	1	0
YIL114C	YNL055C	1	1
YIL120W	YNL065W	1	0
YIL133C	YNL069C	1	1
YIL138C	YNL079C	1	NaN
YIL148W	YKR094C	1	0
YIR033W	YKL020C	1	1
YIR037W	YKL026C	1	NaN
YJL045W	YKL148C	1	NaN
YJL082W	YKR018C	1	NaN
YJL084C	YKR021W	1	0
YJL098W	YKR028W	1	0
YJL099W	YKR027W	1	0
YJL112W	YKR036C	1	0
YJL133W	YKR052C	1	1
YJL134W	YKR053C	1	0
YJL136C	YKR057W	1	1
YJL138C	YKR059W	1	1
YJL139C	YKR061W	1	0
YJL160C	YKL164C	1	0
YJL164C	YKL166C	1	1
YJL177W	YKL180W	1	NaN
YJR005C-A	YGR169C-A	1	NaN
YJR066W	YKL203C	1	1
YJR091C	YPR042C	1	0
YJR094W-A	YPR043W	1	1
YJR130C	YML082W	1	0
YKL062W	YMR037C	1	0
YKL072W	YMR053C	1	0
YKL091C	YMR079W	1	0
YKL121W	YMR102C	1	0
YKL126W	YMR104C	1	NaN
YKL127W	YMR105C	1	1
YKL132C	YMR113W	1	NaN
YKL187C	YLR413W	1	0
YKL220C	YLL051C	1	0
YKR075C	YOR062C	1	0
YLL010C	YLR019W	1	0
YLL012W	YLR020C	1	0
YLL061W	YPL274W	1	0
YLL062C	YPL273W	1	0
YLR028C	YMR120C	1	1
YLR029C	YMR121C	1	NaN
YLR174W	YNL009W	1	0
YLR187W	YNL278W	1	NaN
YLR249W	YNL014W	1	NaN
YLR260W	YOR171C	1	0
YLR264W	YOR167C	1	1
YLR270W	YOR173W	1	0
YLR284C	YOR180C	1	0
YLR287C-A	YOR182C	1	1
YLR293C	YOR185C	1	NaN
YLR300W	YOR190W	1	0
YLR432W	YML056C	1	0
YLR433C	YML057W	1	0
YLR441C	YML063W	1	1
YLR448W	YML073C	1	0
YLR450W	YML075C	1	1
YLR456W	YPR172W	1	0
YML085C	YML124C	1	NaN
YML087C	YML125C	1	0
YML100W	YMR261C	1	0
YML106W	YMR271C	1	0
YML111W	YMR275C	1	1
YML116W	YMR279C	1	0
YML118W	YMR285C	1	0
YMR008C	YOL011W	1	0
YMR183C	YPL232W	1	1
YMR194W	YPL249C-A	1	NaN
YMR199W	YPL256C	1	0
YMR207C	YNR016C	1	NaN
YMR222C	YOR280C	1	0
YMR230W	YOR293W	1	0
YMR233W	YOR295W	1	NaN
YMR237W	YOR299W	1	0
YMR242C	YOR312C	1	NaN
YMR243C	YOR316C	1	1
YMR246W	YOR317W	1	0
YNL087W	YOR086C	1	0
YNL093W	YOR089C	1	0
YNL095C	YOR092W	1	NaN
YNL096C	YOR096W	1	1
YNL104C	YOR108W	1	0
YNL106C	YOR109W	1	NaN
YNL299W	YOL115W	1	NaN
YNL301C	YOL120C	1	NaN
YNL302C	YOL121C	1	NaN
YNL307C	YOL128C	1	0
YNR060W	YOR381W	1	0
YOR222W	YPL134C	1	0
YOR226C	YPL135W	1	1
YOR227W	YPL137C	1	0
YOR229W	YPL139C	1	0
YOR231W	YPL140C	1	1
YOR233W	YPL141C	1	1
YOR234C	YPL143W	1	NaN
YOR237W	YPL145C	1	0
YOR256C	YPL176C	1	NaN
YAL005C	YLL024C	0	1
YAL005C	YER103W	0	NaN
YAL005C	YBL075C	0	0
YAL005C	YJL034W	0	0
YAL005C	YNL209W	0	0
YAL005C	YDL229W	0	0
YAL005C	YJR045C	0	NaN
YAL005C	YEL030W	0	0
YAL005C	YLR369W	0	NaN
YAL012W	YGL184C	0	NaN
YAL012W	YLR303W	0	0
YAL023C	YGR199W	0	1
YAL023C	YDL095W	0	1
YAL023C	YDL093W	0	0
YAL023C	YJR143C	0	1
YAL036C	YGR173W	0	0
YAL053W	YGL139W	0	0
YAL054C	YLR153C	0	1
YAL060W	YAL061W	0	0
YAL061W	YLR070C	0	0
YAL067C	YGR065C	0	0
YAL067W-A	YIL174W	0	NaN
YAR002C-A	YHR110W	0	0
YAR027W	YAR028W	0	0
YAR027W	YCR007C	0	0
YAR027W	YGL053W	0	0
YAR027W	YAR033W	0	0
YAR027W	YGL051W	0	0
YAR028W	YGL053W	0	0
YAR028W	YCR007C	0	0
YAR028W	YAR033W	0	0
YAR028W	YGL051W	0	0
YAR033W	YGL051W	0	0
YAR033W	YGL053W	0	0
YAR033W	YCR007C	0	0
YAR061W	YHR212W-A	0	NaN
YAR062W	YHR213W	0	NaN
YAR064W	YHR213W-B	0	NaN
YAR066W	YHR214W	0	NaN
YAR071W	YHR215W	0	NaN
YAR071W	YBR093C	0	NaN
YAR071W	YBR092C	0	0
YAR071W	YDL024C	0	0
YBL003C	YDR225W	0	1
YBL016W	YGR040W	0	NaN
YBL016W	YLR113W	0	NaN
YBL016W	YPR054W	0	NaN
YBL016W	YBR160W	0	NaN
YBL016W	YPL031C	0	NaN
YBL016W	YDL108W	0	NaN
YBL016W	YMR139W	0	NaN
YBL017C	YJL222W	0	NaN
YBL017C	YIL173W	0	NaN
YBL030C	YMR056C	0	NaN
YBL030C	YPR011C	0	NaN
YBL042C	YBR021W	0	NaN
YBL068W	YHL011C	0	NaN
YBL075C	YLL024C	0	0
YBL075C	YJL034W	0	0
YBL075C	YNL209W	0	0
YBL075C	YDL229W	0	0
YBL075C	YJR045C	0	NaN
YBL075C	YEL030W	0	0
YBL075C	YLR369W	0	NaN
YBL089W	YIL088C	0	0
YBL111C	YHR218W	0	NaN
YBR006W	YER073W	0	0
YBR006W	YOR374W	0	0
YBR006W	YPL061W	0	0
YBR006W	YMR170C	0	0
YBR006W	YMR169C	0	0
YBR008C	YHR048W	0	0
YBR010W	YNL031C	0	1
YBR011C	YMR267W	0	NaN
YBR015C	YJL186W	0	0
YBR021W	YIR028W	0	NaN
YBR025C	YHL014C	0	0
YBR052C	YCR004C	0	NaN
YBR068C	YDR508C	0	0
YBR068C	YCL025C	0	0
YBR068C	YBR069C	0	0
YBR068C	YKR039W	0	0
YBR068C	YGR191W	0	NaN
YBR068C	YOL020W	0	0
YBR068C	YPL274W	0	0
YBR068C	YLL061W	0	0
YBR068C	YNL268W	0	NaN
YBR068C	YEL063C	0	NaN
YBR068C	YPL265W	0	0
YBR068C	YNL270C	0	0
YBR068C	YOR348C	0	0
YBR069C	YDR508C	0	0
YBR069C	YCL025C	0	0
YBR069C	YDR046C	0	0
YBR069C	YKR039W	0	0
YBR069C	YGR191W	0	NaN
YBR069C	YOL020W	0	0
YBR069C	YPL274W	0	0
YBR069C	YLL061W	0	0
YBR069C	YNL270C	0	0
YBR069C	YNL268W	0	NaN
YBR069C	YEL063C	0	NaN
YBR069C	YPL265W	0	0
YBR069C	YOR348C	0	0
YBR082C	YDR092W	0	0
YBR082C	YGL058W	0	0
YBR082C	YMR022W	0	0
YBR082C	YOR339C	0	0
YBR084W	YGR204W	0	0
YBR085W	YMR056C	0	0
YBR092C	YBR093C	0	0
YBR092C	YHR215W	0	0
YBR092C	YDL024C	0	NaN
YBR093C	YHR215W	0	NaN
YBR093C	YDL024C	0	0
YBR109C	YOR257W	0	NaN
YBR109C	YGL106W	0	NaN
YBR109C	YKL190W	0	0
YBR132C	YOR348C	0	0
YBR132C	YNL270C	0	0
YBR132C	YKR039W	0	0
YBR139W	YMR297W	0	0
YBR145W	YMR303C	0	0
YBR145W	YMR083W	0	0
YBR149W	YOR120W	0	0
YBR149W	YDR368W	0	0
YBR149W	YHR104W	0	0
YBR149W	YDL124W	0	0
YBR160W	YPL031C	0	NaN
YBR160W	YDL108W	0	1
YBR160W	YGR040W	0	0
YBR160W	YMR139W	0	0
YBR160W	YNL307C	0	NaN
YBR160W	YOR061W	0	0
YBR164C	YDL192W	0	1
YBR164C	YDL137W	0	0
YBR164C	YOR094W	0	0
YBR164C	YPL051W	0	0
YBR164C	YPL218W	0	NaN
YBR164C	YMR138W	0	0
YBR177C	YMR210W	0	0
YBR205W	YOR099W	0	0
YBR205W	YKR061W	0	0
YBR205W	YJL139C	0	0
YBR244W	YIR037W	0	0
YBR244W	YKL026C	0	0
YBR245C	YOR304W	0	0
YBR249C	YDR035W	0	0
YBR263W	YLR058C	0	0
YBR264C	YKR014C	0	0
YBR264C	YOR089C	0	0
YBR264C	YNL093W	0	0
YBR264C	YLR262C	0	0
YBR264C	YML001W	0	0
YBR264C	YFL005W	0	NaN
YBR283C	YLR378C	0	1
YBR291C	YJR095W	0	0
YBR291C	YFR045W	0	NaN
YBR294W	YLR092W	0	0
YBR297W	YPR196W	0	0
YBR297W	YGR288W	0	0
YBR297W	YFL052W	0	0
YBR298C	YJR160C	0	NaN
YBR298C	YDL247W	0	NaN
YBR298C	YGR289C	0	0
YBR299W	YGR292W	0	0
YBR299W	YOL157C	0	NaN
YBR299W	YJL221C	0	0
YBR299W	YIL172C	0	NaN
YBR299W	YGR287C	0	0
YBR299W	YJL216C	0	NaN
YBR302C	YML132W	0	NaN
YBR302C	YNL336W	0	NaN
YBR302C	YFL062W	0	NaN
YBR302C	YJR161C	0	NaN
YBR302C	YDL248W	0	NaN
YBR302C	YGR295C	0	NaN
YBR302C	YHL048W	0	NaN
YBR302C	YKL219W	0	NaN
YBR302C	YNR075W	0	NaN
YBR302C	YGL263W	0	NaN
YCL018W	YIL094C	0	NaN
YCL025C	YDR046C	0	0
YCL025C	YKR039W	0	0
YCL025C	YGR191W	0	NaN
YCL025C	YOL020W	0	0
YCL025C	YPL274W	0	0
YCL025C	YLL061W	0	0
YCL025C	YEL063C	0	NaN
YCL025C	YNL268W	0	NaN
YCL025C	YNL270C	0	0
YCL025C	YPL265W	0	0
YCL025C	YOR348C	0	0
YCL026C-A	YCL026C-B	0	NaN
YCL040W	YFR053C	0	NaN
YCL040W	YGL253W	0	0
YCL066W	YCR040W	0	NaN
YCL067C	YCR039C	0	NaN
YCL073C	YHL040C	0	NaN
YCL073C	YHL047C	0	NaN
YCL073C	YEL065W	0	NaN
YCL073C	YOL158C	0	NaN
YCR004C	YDR032C	0	NaN
YCR005C	YPR001W	0	0
YCR007C	YGL053W	0	0
YCR007C	YGL051W	0	NaN
YCR010C	YDR384C	0	0
YCR021C	YDR033W	0	0
YCR027C	YFL005W	0	NaN
YCR027C	YLR262C	0	0
YCR034W	YLR372W	0	NaN
YCR037C	YNR013C	0	NaN
YCR094W	YNL323W	0	NaN
YCR102C	YLR460C	0	0
YCR102C	YNL134C	0	0
YCR104W	YMR325W	0	NaN
YCR104W	YIR041W	0	NaN
YCR104W	YLR037C	0	0
YCR104W	YLL025W	0	0
YCR104W	YKL224C	0	NaN
YCR105W	YMR318C	0	0
YCR106W	YLL054C	0	0
YCR107W	YNL331C	0	NaN
YCR107W	YDL243C	0	0
YDL007W	YDR394W	0	1
YDL021W	YKL152C	0	NaN
YDL024C	YHR215W	0	0
YDL029W	YFL039C	0	1
YDL029W	YHR129C	0	0
YDL029W	YJR065C	0	0
YDL036C	YGR169C	0	0
YDL047W	YDL134C	0	NaN
YDL047W	YDL188C	0	NaN
YDL047W	YDR075W	0	NaN
YDL047W	YNR032W	0	NaN
YDL047W	YER133W	0	NaN
YDL049C	YJL174W	0	NaN
YDL064W	YGL058W	0	0
YDL064W	YMR022W	0	NaN
YDL064W	YDR092W	0	NaN
YDL066W	YLR174W	0	0
YDL066W	YNL009W	0	0
YDL078C	YKL085W	0	0
YDL078C	YOL126C	0	0
YDL080C	YLR044C	0	0
YDL080C	YLR134W	0	0
YDL080C	YGR087C	0	0
YDL080C	YDR380W	0	0
YDL081C	YDL130W	0	NaN
YDL084W	YKR059W	0	0
YDL084W	YJL138C	0	0
YDL084W	YDR021W	0	0
YDL084W	YHR169W	0	NaN
YDL085W	YML120C	0	0
YDL093W	YDL095W	0	0
YDL093W	YOR321W	0	0
YDL095W	YGR199W	0	0
YDL095W	YOR321W	0	0
YDL095W	YJR143C	0	1
YDL108W	YPL031C	0	NaN
YDL108W	YMR139W	0	0
YDL108W	YGR040W	0	0
YDL109C	YDR444W	0	0
YDL124W	YOR120W	0	0
YDL124W	YDR368W	0	0
YDL134C	YDR075W	0	0
YDL137W	YOR094W	0	0
YDL137W	YPL051W	0	0
YDL137W	YPL218W	0	NaN
YDL140C	YOR116C	0	0
YDL143W	YJR064W	0	0
YDL143W	YIL142W	0	0
YDL143W	YJL111W	0	0
YDL155W	YPR120C	0	0
YDL178W	YEL071W	0	NaN
YDL188C	YDR075W	0	0
YDL192W	YOR094W	0	0
YDL192W	YPL051W	0	1
YDL192W	YPL218W	0	NaN
YDL225W	YJR076C	0	NaN
YDL229W	YER103W	0	NaN
YDL229W	YLL024C	0	0
YDL229W	YJL034W	0	0
YDL229W	YEL030W	0	0
YDL229W	YLR369W	0	NaN
YDL243C	YNL331C	0	NaN
YDL243C	YJR155W	0	0
YDL244W	YFL058W	0	NaN
YDL244W	YNL332W	0	NaN
YDL244W	YJR156C	0	NaN
YDL245C	YJR158W	0	NaN
YDL245C	YEL069C	0	NaN
YDL245C	YNR072W	0	NaN
YDL245C	YLR081W	0	0
YDL245C	YDR343C	0	NaN
YDL245C	YDR342C	0	NaN
YDL245C	YDR345C	0	0
YDL245C	YHR094C	0	0
YDL245C	YHR092C	0	0
YDL245C	YJL214W	0	0
YDL245C	YOL156W	0	NaN
YDL245C	YFL011W	0	0
YDL245C	YJL219W	0	NaN
YDL245C	YHR096C	0	0
YDL245C	YMR011W	0	0
YDL245C	YNL318C	0	NaN
YDL246C	YJR159W	0	NaN
YDL246C	YLR070C	0	0
YDL247W	YJR160C	0	NaN
YDL247W	YGR289C	0	NaN
YDL248W	YJR161C	0	NaN
YDL248W	YML132W	0	NaN
YDL248W	YNL336W	0	NaN
YDL248W	YFL062W	0	NaN
YDL248W	YHL048W	0	NaN
YDL248W	YGR295C	0	NaN
YDL248W	YKL219W	0	NaN
YDL248W	YNR075W	0	0
YDL248W	YGL263W	0	0
YDR011W	YNR070W	0	NaN
YDR011W	YPL058C	0	0
YDR011W	YOR153W	0	0
YDR011W	YDR406W	0	0
YDR011W	YOR328W	0	0
YDR011W	YIL013C	0	0
YDR011W	YOR011W	0	0
YDR021W	YKR059W	0	0
YDR021W	YJL138C	0	0
YDR021W	YHR169W	0	NaN
YDR037W	YNL073W	0	NaN
YDR038C	YDR039C	0	NaN
YDR038C	YDR040C	0	NaN
YDR039C	YDR040C	0	NaN
YDR046C	YDR508C	0	0
YDR046C	YKR039W	0	0
YDR046C	YGR191W	0	NaN
YDR046C	YOL020W	0	0
YDR046C	YPL274W	0	0
YDR046C	YLL061W	0	0
YDR046C	YNL268W	0	NaN
YDR046C	YEL063C	0	NaN
YDR046C	YNL270C	0	0
YDR046C	YPL265W	0	0
YDR059C	YDR092W	0	0
YDR059C	YGL058W	0	0
YDR059C	YOR339C	0	0
YDR059C	YMR022W	0	0
YDR059C	YGR133W	0	0
YDR075W	YNR032W	0	0
YDR075W	YER133W	0	0
YDR092W	YMR022W	0	0
YDR135C	YLL015W	0	0
YDR135C	YLL048C	0	0
YDR135C	YHL035C	0	NaN
YDR144C	YLR121C	0	0
YDR155C	YML078W	0	0
YDR190C	YPL235W	0	0
YDR212W	YJL111W	0	0
YDR212W	YIL142W	0	1
YDR212W	YJL014W	0	0
YDR212W	YJR064W	0	1
YDR218C	YJR076C	0	0
YDR226W	YER170W	0	NaN
YDR243C	YPL119C	0	0
YDR243C	YNL112W	0	0
YDR243C	YGL078C	0	0
YDR256C	YGR088W	0	0
YDR287W	YHR046C	0	0
YDR321W	YLR160C	0	0
YDR321W	YLR158C	0	0
YDR321W	YLR157C	0	0
YDR321W	YLR155C	0	NaN
YDR342C	YDR343C	0	NaN
YDR342C	YDR345C	0	NaN
YDR342C	YLR081W	0	NaN
YDR342C	YHR094C	0	NaN
YDR342C	YJL219W	0	NaN
YDR342C	YOL156W	0	NaN
YDR342C	YHR096C	0	NaN
YDR342C	YJL214W	0	NaN
YDR342C	YFL011W	0	NaN
YDR342C	YMR011W	0	NaN
YDR342C	YEL069C	0	NaN
YDR342C	YNR072W	0	NaN
YDR342C	YJR158W	0	NaN
YDR342C	YNL318C	0	NaN
YDR343C	YHR092C	0	NaN
YDR343C	YDR345C	0	NaN
YDR343C	YLR081W	0	NaN
YDR343C	YJL219W	0	NaN
YDR343C	YOL156W	0	NaN
YDR343C	YHR096C	0	NaN
YDR343C	YJL214W	0	NaN
YDR343C	YFL011W	0	NaN
YDR343C	YMR011W	0	NaN
YDR343C	YEL069C	0	NaN
YDR343C	YNR072W	0	NaN
YDR343C	YJR158W	0	NaN
YDR343C	YNL318C	0	NaN
YDR345C	YHR094C	0	0
YDR345C	YHR092C	0	0
YDR345C	YLR081W	0	0
YDR345C	YJL219W	0	0
YDR345C	YOL156W	0	NaN
YDR345C	YJL214W	0	0
YDR345C	YFL011W	0	0
YDR345C	YMR011W	0	NaN
YDR345C	YEL069C	0	NaN
YDR345C	YNR072W	0	NaN
YDR345C	YJR158W	0	NaN
YDR345C	YNL318C	0	0
YDR368W	YHR104W	0	0
YDR368W	YJR096W	0	0
YDR373W	YKL190W	0	0
YDR380W	YGR087C	0	0
YDR380W	YLR044C	0	0
YDR380W	YLR134W	0	0
YDR384C	YNR002C	0	NaN
YDR387C	YDR497C	0	0
YDR387C	YOL103W	0	0
YDR394W	YGL048C	0	1
YDR394W	YOR117W	0	0
YDR399W	YJR133W	0	0
YDR406W	YOR328W	0	0
YDR406W	YNR070W	0	NaN
YDR406W	YPL058C	0	0
YDR406W	YIL013C	0	0
YDR406W	YOR011W	0	0
YDR492W	YOL002C	0	0
YDR508C	YGR191W	0	NaN
YDR508C	YOL020W	0	0
YDR508C	YPL265W	0	0
YDR516C	YFR053C	0	NaN
YDR516C	YGL253W	0	0
YDR533C	YPL280W	0	0
YDR533C	YOR391C	0	0
YDR533C	YMR322C	0	NaN
YDR541C	YOL151W	0	0
YDR541C	YGL157W	0	0
YDR541C	YGL039W	0	0
YEL027W	YPL234C	0	NaN
YEL029C	YNR027W	0	0
YEL030W	YLR369W	0	NaN
YEL030W	YJL034W	0	NaN
YEL030W	YLL024C	0	0
YEL030W	YER103W	0	NaN
YEL030W	YNL209W	0	NaN
YEL063C	YNL268W	0	NaN
YEL063C	YPL265W	0	NaN
YEL063C	YKR039W	0	NaN
YEL063C	YOR348C	0	NaN
YEL063C	YGR191W	0	NaN
YEL063C	YFL055W	0	NaN
YEL063C	YOL020W	0	NaN
YEL063C	YLL061W	0	NaN
YEL065W	YHL040C	0	0
YEL065W	YHL047C	0	0
YEL065W	YKR106W	0	0
YEL065W	YOL158C	0	0
YEL069C	YNR072W	0	NaN
YEL069C	YJR158W	0	NaN
YEL069C	YLR081W	0	NaN
YEL069C	YHR094C	0	NaN
YEL069C	YHR092C	0	NaN
YEL069C	YJL214W	0	NaN
YEL069C	YJL219W	0	NaN
YEL069C	YOL156W	0	NaN
YEL069C	YFL011W	0	NaN
YEL069C	YMR011W	0	NaN
YEL069C	YHR096C	0	NaN
YEL069C	YNL318C	0	NaN
YEL069C	YOL103W	0	NaN
YEL070W	YNR073C	0	0
YEL075C	YER189W	0	NaN
YEL076C-A	YLR464W	0	NaN
YER019C-A	YER087C-B	0	NaN
YER031C	YFL005W	0	NaN
YER031C	YKR014C	0	0
YER048C	YIR004W	0	0
YER053C	YJR077C	0	1
YER056C	YER060W-A	0	NaN
YER056C	YER060W	0	0
YER060W	YER060W-A	0	NaN
YER060W-A	YGL186C	0	NaN
YER062C	YHR043C	0	0
YER062C	YHR044C	0	0
YER065C	YPR006C	0	NaN
YER073W	YOR374W	0	0
YER073W	YPL061W	0	0
YER073W	YMR170C	0	0
YER073W	YMR169C	0	0
YER095W	YER179W	0	0
YER099C	YHL011C	0	NaN
YER103W	YLL024C	0	NaN
YER103W	YJL034W	0	NaN
YER103W	YNL209W	0	NaN
YER103W	YJR045C	0	NaN
YER103W	YLR369W	0	NaN
YER119C	YIL088C	0	0
YER123W	YHR135C	0	0
YER123W	YNL154C	0	0
YER123W	YPL204W	0	0
YER172C	YGR271W	0	0
YER185W	YGR213C	0	0
YER190C-B	YFL068W	0	NaN
YFL005W	YFL038C	0	0
YFL005W	YLR262C	0	0
YFL011W	YMR011W	0	0
YFL011W	YHR092C	0	0
YFL011W	YHR096C	0	0
YFL011W	YOL156W	0	NaN
YFL011W	YJL219W	0	0
