Chromosome,Start,Stop
ref|NC_001134|,224852,225276
ref|NC_001134|,225426,225461
ref|NC_001134|,225606,226199
ref|NC_001134|,226349,226878
ref|NC_001134|,259649,259689
ref|NC_001134|,259839,260460
ref|NC_001134|,260610,261334
ref|NC_001134|,261484,263070
ref|NC_001134|,263388,264193
ref|NC_001134|,264343,265307
ref|NC_001134|,300336,300486
ref|NC_001134|,300636,300909
ref|NC_001134|,405931,405976
ref|NC_001134|,477745,478357
ref|NC_001134|,478579,478974
ref|NC_001134|,591832,591994
ref|NC_001134|,592144,592207
ref|NC_001134|,643586,643733
ref|NC_001134|,661617,661668
ref|NC_001134|,805418,805497
ref|NC_001134|,805683,805695
ref|NC_001134|,805845,806188
ref|NC_001134|,806338,806674
ref|NC_001134|,806841,806889
ref|NC_001134|,808949,809145
ref|NC_001134|,810361,813076
ref|NC_001135|,4970,5187
ref|NC_001135|,5804,5934
ref|NC_001135|,6800,6821
ref|NC_001135|,7052,7163
ref|NC_001135|,7313,7349
ref|NC_001135|,7535,7570
ref|NC_001135|,8141,8278
ref|NC_001135|,9536,9646
ref|NC_001135|,9834,9891
ref|NC_001135|,10041,10126
ref|NC_001135|,10423,10755
ref|NC_001135|,10905,10977
ref|NC_001135|,11583,11700
ref|NC_001135|,11850,12121
ref|NC_001135|,12271,13943
ref|NC_001135|,82773,82964
ref|NC_001135|,84365,84547
ref|NC_001135|,84883,85063
ref|NC_001135|,85208,86674
ref|NC_001135|,86824,87989
ref|NC_001135|,88191,90695
ref|NC_001135|,124204,124262
ref|NC_001135|,151629,151712
ref|NC_001135|,168483,168526
ref|NC_001135|,168672,168863
ref|NC_001135|,169276,169461
ref|NC_001135|,198745,198862
ref|NC_001135|,199012,199283
ref|NC_001135|,199570,201103
ref|NC_001135|,268714,268775
ref|NC_001135|,269041,269102
ref|NC_001135|,293106,293662
ref|NC_001135|,294464,294518
ref|NC_001135|,307213,307235
ref|NC_001135|,307518,307555
ref|NC_001135|,307705,307773
ref|NC_001135|,311416,311438
ref|NC_001135|,314582,314603
ref|NC_001136|,332,639
ref|NC_001136|,792,1496
ref|NC_001136|,1918,2098
ref|NC_001136|,2481,2509
ref|NC_001136|,2659,2751
ref|NC_001136|,2875,3491
ref|NC_001136|,3641,3805
ref|NC_001136|,3955,4055
ref|NC_001136|,4307,4677
ref|NC_001136|,4827,5233
ref|NC_001136|,5719,7657
ref|NC_001136|,7884,9358
ref|NC_001136|,9508,10942
ref|NC_001136|,11092,11727
ref|NC_001136|,11877,12464
ref|NC_001136|,12610,13952
ref|NC_001136|,14102,14890
ref|NC_001136|,15102,16452
ref|NC_001136|,16869,16902
ref|NC_001136|,44604,45018
ref|NC_001136|,45495,45513
ref|NC_001136|,118280,118433
ref|NC_001136|,124663,124708
ref|NC_001136|,133847,133976
ref|NC_001136|,134345,134357
ref|NC_001136|,218130,218283
ref|NC_001136|,220460,220505
ref|NC_001136|,227845,227974
ref|NC_001136|,228343,228355
ref|NC_001136|,384925,384960
ref|NC_001136|,437395,437435
ref|NC_001136|,472023,472173
ref|NC_001136|,472323,472596
ref|NC_001136|,513786,514649
ref|NC_001136|,514799,515360
ref|NC_001136|,515486,515585
ref|NC_001136|,515735,516005
ref|NC_001136|,516116,516526
ref|NC_001136|,516676,519247
ref|NC_001136|,519444,519577
ref|NC_001136|,527605,527722
ref|NC_001136|,527926,527953
ref|NC_001136|,528129,531607
ref|NC_001136|,531703,535438
ref|NC_001136|,535588,536136
ref|NC_001136|,536286,538123
ref|NC_001136|,568946,568962
ref|NC_001136|,645573,646006
ref|NC_001136|,646156,651350
ref|NC_001136|,668170,668369
ref|NC_001136|,757478,757556
ref|NC_001136|,758385,758571
ref|NC_001136|,758672,758915
ref|NC_001136|,759023,759195
ref|NC_001136|,759323,759557
ref|NC_001136|,802975,802999
ref|NC_001136|,803644,803805
ref|NC_001136|,804229,804298
ref|NC_001136|,804602,804785
ref|NC_001136|,805167,805410
ref|NC_001136|,805560,805575
ref|NC_001136|,871890,872072
ref|NC_001136|,872224,873265
ref|NC_001136|,873415,874482
ref|NC_001136|,874632,874653
ref|NC_001136|,874764,875524
ref|NC_001136|,875674,877705
ref|NC_001136|,878377,879025
ref|NC_001136|,879175,880159
ref|NC_001136|,880309,880731
ref|NC_001136|,880834,882633
ref|NC_001136|,882912,884148
ref|NC_001136|,946064,946222
ref|NC_001136|,981242,981438
ref|NC_001136|,981589,981831
ref|NC_001136|,982124,982525
ref|NC_001136|,982675,983326
ref|NC_001136|,983476,983508
ref|NC_001136|,983625,986166
ref|NC_001136|,986304,986331
ref|NC_001136|,986472,986624
ref|NC_001136|,986774,987056
ref|NC_001136|,987223,987488
ref|NC_001136|,987638,992572
ref|NC_001136|,1095840,1101618
ref|NC_001136|,1154372,1155938
ref|NC_001136|,1159764,1161330
ref|NC_001136|,1175432,1175460
ref|NC_001136|,1206777,1209302
ref|NC_001136|,1209452,1212547
ref|NC_001136|,1243304,1243601
ref|NC_001136|,1243751,1244036
ref|NC_001136|,1244186,1245299
ref|NC_001136|,1245449,1245518
ref|NC_001136|,1245668,1245687
ref|NC_001136|,1308122,1308519
ref|NC_001136|,1352715,1352904
ref|NC_001136|,1523333,1523350
ref|NC_001136|,1523467,1523511
ref|NC_001136|,1525536,1531933
ref|NC_001137|,1,310
ref|NC_001137|,460,525
ref|NC_001137|,675,705
ref|NC_001137|,813,1058
ref|NC_001137|,1208,1475
ref|NC_001137|,1854,1902
ref|NC_001137|,2022,2071
ref|NC_001137|,2221,2473
ref|NC_001137|,2671,3426
ref|NC_001137|,3642,4019
ref|NC_001137|,4163,5386
ref|NC_001137|,5474,6035
ref|NC_001137|,19990,20041
ref|NC_001137|,20200,20293
ref|NC_001137|,20443,20638
ref|NC_001137|,22938,22959
ref|NC_001137|,62229,62402
ref|NC_001137|,135681,135870
ref|NC_001137|,250001,250059
ref|NC_001137|,289983,290078
ref|NC_001137|,354452,354493
ref|NC_001137|,354643,354658
ref|NC_001137|,363312,363629
ref|NC_001137|,431639,431740
ref|NC_001137|,434703,434898
ref|NC_001137|,436017,436090
ref|NC_001137|,443471,449247
ref|NC_001137|,449395,449503
ref|NC_001137|,487905,487998
ref|NC_001137|,492512,492621
ref|NC_001137|,492770,498128
ref|NC_001137|,498278,498349
ref|NC_001137|,570404,570423
ref|NC_001137|,570573,570630
ref|NC_001137|,570710,570993
ref|NC_001137|,571143,571346
ref|NC_001137|,571482,571538
ref|NC_001137|,571779,576874
ref|NC_001138|,1,824
ref|NC_001138|,1025,1073
ref|NC_001138|,1331,1372
ref|NC_001138|,1519,2070
ref|NC_001138|,2160,2974
ref|NC_001138|,3124,3576
ref|NC_001138|,3726,3946
ref|NC_001138|,4064,4090
ref|NC_001138|,4336,4493
ref|NC_001138|,6922,7031
ref|NC_001138|,7112,7315
ref|NC_001138|,7547,7568
ref|NC_001138|,7904,7945
ref|NC_001138|,8270,8287
ref|NC_001138|,8537,8575
ref|NC_001138|,9300,9450
ref|NC_001138|,9600,9847
ref|NC_001138|,9997,10581
ref|NC_001138|,10765,10931
ref|NC_001138|,11389,11590
ref|NC_001138|,11740,11989
ref|NC_001138|,12233,12341
ref|NC_001138|,12505,12792
ref|NC_001138|,12942,13048
ref|NC_001138|,13198,13267
ref|NC_001138|,13552,13627
ref|NC_001138|,13765,13901
ref|NC_001138|,117563,117658
ref|NC_001138|,137983,143797
ref|NC_001138|,220675,220714
ref|NC_001139|,6337,6434
ref|NC_001139|,7000,7051
ref|NC_001139|,7796,7875
ref|NC_001139|,111102,111151
ref|NC_001139|,254886,254904
ref|NC_001139|,255054,255220
ref|NC_001139|,364479,364575
ref|NC_001139|,385774,385825
ref|NC_001139|,401773,401817
ref|NC_001139|,402031,402081
ref|NC_001139|,403095,403259
ref|NC_001139|,403806,403849
ref|NC_001139|,404121,404213
ref|NC_001139|,404736,404748
ref|NC_001139|,405302,405334
ref|NC_001139|,423130,423143
ref|NC_001139|,535284,535464
ref|NC_001139|,535832,541612
ref|NC_001139|,561912,567365
ref|NC_001139|,567507,567687
ref|NC_001139|,568814,571907
ref|NC_001139|,572051,573056
ref|NC_001139|,573206,574252
ref|NC_001139|,574497,574532
ref|NC_001139|,648542,648719
ref|NC_001139|,707268,707682
ref|NC_001139|,707990,708092
ref|NC_001139|,708584,708702
ref|NC_001139|,708852,708973
ref|NC_001139|,709069,709275
ref|NC_001139|,709578,709659
ref|NC_001139|,709941,710052
ref|NC_001139|,710297,710518
ref|NC_001139|,710713,710841
ref|NC_001139|,711600,711777
ref|NC_001139|,712149,712478
ref|NC_001139|,736055,736242
ref|NC_001139|,763974,764055
ref|NC_001139|,764535,764751
ref|NC_001139|,811518,817311
ref|NC_001139|,817465,819870
ref|NC_001139|,819969,821266
ref|NC_001139|,821416,823235
ref|NC_001139|,883358,883382
ref|NC_001139|,931254,931303
ref|NC_001139|,931905,931927
ref|NC_001139|,1076666,1076745
ref|NC_001139|,1076931,1076943
ref|NC_001139|,1077093,1077436
ref|NC_001139|,1077586,1077922
ref|NC_001139|,1078089,1078137
ref|NC_001139|,1080198,1080394
ref|NC_001139|,1080578,1080621
ref|NC_001139|,1081525,1081717
ref|NC_001139|,1084417,1090940
ref|NC_001140|,169,207
ref|NC_001140|,430,886
ref|NC_001140|,1025,1121
ref|NC_001140|,1254,1494
ref|NC_001140|,2072,2158
ref|NC_001140|,2487,2609
ref|NC_001140|,2759,2868
ref|NC_001140|,3018,3150
ref|NC_001140|,3284,4769
ref|NC_001140|,6017,6050
ref|NC_001140|,6200,6284
ref|NC_001140|,12006,12022
ref|NC_001140|,12172,12201
ref|NC_001140|,85767,87001
ref|NC_001140|,87151,89122
ref|NC_001140|,89268,91687
ref|NC_001140|,91888,92029
ref|NC_001140|,116630,116682
ref|NC_001140|,146455,146598
ref|NC_001140|,212340,214179
ref|NC_001140|,214338,216177
ref|NC_001140|,389250,389438
ref|NC_001140|,525525,525553
ref|NC_001140|,525703,525775
ref|NC_001140|,526591,526601
ref|NC_001140|,528535,528628
ref|NC_001140|,529880,529891
ref|NC_001140|,531755,532617
ref|NC_001140|,532888,534164
ref|NC_001140|,534314,534584
ref|NC_001140|,534738,536546
ref|NC_001140|,536696,539779
ref|NC_001140|,539929,540122
ref|NC_001140|,540272,540819
ref|NC_001140|,541311,541332
ref|NC_001140|,541482,541950
ref|NC_001140|,542100,542454
ref|NC_001140|,542604,542781
ref|NC_001140|,542931,543114
ref|NC_001140|,543264,543536
ref|NC_001140|,543683,545079
ref|NC_001140|,545185,545369
ref|NC_001140|,545519,548646
ref|NC_001140|,548793,549296
ref|NC_001140|,549446,549566
ref|NC_001140|,549712,549724
ref|NC_001140|,549891,550283
ref|NC_001140|,550424,551346
ref|NC_001140|,551543,551661
ref|NC_001140|,551812,552296
ref|NC_001140|,552446,553083
ref|NC_001140|,553233,553268
ref|NC_001140|,557055,557765
ref|NC_001140|,557913,560597
ref|NC_001140|,560675,562393
ref|NC_001141|,100,15963
ref|NC_001141|,16113,18790
ref|NC_001141|,18938,19504
ref|NC_001141|,20964,20990
ref|NC_001141|,21157,21440
ref|NC_001141|,21585,21666
ref|NC_001141|,21836,22052
ref|NC_001141|,22348,22523
ref|NC_001141|,22673,22694
ref|NC_001141|,22962,23010
ref|NC_001141|,23467,23492
ref|NC_001141|,25501,25527
ref|NC_001141|,25669,25690
ref|NC_001141|,196727,196951
ref|NC_001141|,205293,205707
ref|NC_001141|,206015,206117
ref|NC_001141|,206609,206727
ref|NC_001141|,206877,206998
ref|NC_001141|,207172,207378
ref|NC_001141|,207681,207762
ref|NC_001141|,208044,208155
ref|NC_001141|,208400,208621
ref|NC_001141|,208816,208944
ref|NC_001141|,209703,209880
ref|NC_001141|,210251,210576
ref|NC_001141|,246290,246469
ref|NC_001141|,317725,317764
ref|NC_001141|,391414,391459
ref|NC_001141|,391539,391636
ref|NC_001141|,392171,392521
ref|NC_001141|,432705,432784
ref|NC_001141|,433434,433581
ref|NC_001141|,433987,434147
ref|NC_001141|,437714,437733
ref|NC_001142|,83,3555
ref|NC_001142|,3636,8328
ref|NC_001142|,8478,15946
ref|NC_001142|,16096,18773
ref|NC_001142|,18920,19486
ref|NC_001142|,19742,20006
ref|NC_001142|,20600,20970
ref|NC_001142|,153597,153744
ref|NC_001142|,153894,154389
ref|NC_001142|,154542,154557
ref|NC_001142|,197617,197842
ref|NC_001142|,198212,198511
ref|NC_001142|,198677,198765
ref|NC_001142|,198927,198988
ref|NC_001142|,199407,199713
ref|NC_001142|,200352,200397
ref|NC_001142|,200614,200708
ref|NC_001142|,201298,201587
ref|NC_001142|,201793,202326
ref|NC_001142|,202476,202612
ref|NC_001142|,202902,203696
ref|NC_001142|,203974,204045
ref|NC_001142|,204189,204264
ref|NC_001142|,354918,355054
ref|NC_001142|,355432,355463
ref|NC_001142|,374479,374524
ref|NC_001142|,454211,454253
ref|NC_001142|,472536,475467
ref|NC_001142|,475589,476606
ref|NC_001142|,476723,477611
ref|NC_001142|,477752,483898
ref|NC_001142|,538176,538357
ref|NC_001142|,541245,541356
ref|NC_001142|,714293,714525
ref|NC_001142|,715156,715231
ref|NC_001142|,728548,728657
ref|NC_001142|,729348,730698
ref|NC_001142|,730910,731698
ref|NC_001142|,731848,733190
ref|NC_001142|,733340,733923
ref|NC_001142|,734073,734708
ref|NC_001142|,734858,736292
ref|NC_001142|,736442,737916
ref|NC_001142|,738144,740082
ref|NC_001142|,740568,740974
ref|NC_001142|,741124,741494
ref|NC_001142|,741746,741846
ref|NC_001142|,741996,742160
ref|NC_001142|,742310,742926
ref|NC_001142|,743076,743142
ref|NC_001142|,743292,743320
ref|NC_001142|,743468,743553
ref|NC_001142|,743650,743775
ref|NC_001142|,743926,743980
ref|NC_001142|,744116,744131
ref|NC_001142|,744350,744502
ref|NC_001142|,744652,745098
ref|NC_001142|,745196,745219
ref|NC_001143|,1142,1601
ref|NC_001143|,1963,2123
ref|NC_001143|,2567,2647
ref|NC_001143|,202716,202910
ref|NC_001143|,458325,458405
ref|NC_001143|,517526,517713
ref|NC_001143|,555121,555136
ref|NC_001143|,555289,555784
ref|NC_001143|,555934,556081
ref|NC_001143|,647684,647734
ref|NC_001143|,658821,658893
ref|NC_001143|,659043,659375
ref|NC_001143|,659672,659757
ref|NC_001143|,659907,659964
ref|NC_001143|,660152,660262
ref|NC_001143|,661490,661627
ref|NC_001143|,662198,662233
ref|NC_001143|,662419,662455
ref|NC_001143|,662605,662716
ref|NC_001143|,662947,662968
ref|NC_001143|,663800,663930
ref|NC_001143|,664573,664790
ref|NC_001144|,209,479
ref|NC_001144|,666,1826
ref|NC_001144|,1976,5614
ref|NC_001144|,5918,6952
ref|NC_001144|,7056,11149
ref|NC_001144|,12013,12202
ref|NC_001144|,12352,12945
ref|NC_001144|,13095,13608
ref|NC_001144|,95893,96121
ref|NC_001144|,96304,96439
ref|NC_001144|,96589,96625
ref|NC_001144|,96775,97009
ref|NC_001144|,215150,216626
ref|NC_001144|,216899,216943
ref|NC_001144|,217093,220642
ref|NC_001144|,220792,220933
ref|NC_001144|,374072,374157
ref|NC_001144|,451492,459724
ref|NC_001144|,460629,471980
ref|NC_001144|,472130,474345
ref|NC_001144|,474492,475899
ref|NC_001144|,476047,479703
ref|NC_001144|,479853,481824
ref|NC_001144|,481972,489397
ref|NC_001144|,489991,490368
ref|NC_001144|,593217,595682
ref|NC_001144|,595832,597019
ref|NC_001144|,597200,598992
ref|NC_001144|,650894,651068
ref|NC_001144|,651223,652490
ref|NC_001144|,652611,653301
ref|NC_001144|,653443,656669
ref|NC_001144|,731789,731929
ref|NC_001144|,941262,941449
ref|NC_001144|,941589,944282
ref|NC_001144|,944447,945833
ref|NC_001144|,945983,946049
ref|NC_001144|,946147,946163
ref|NC_001144|,946313,947076
ref|NC_001144|,976340,976718
ref|NC_001144|,976866,977373
ref|NC_001144|,977523,978545
ref|NC_001144|,978695,980597
ref|NC_001144|,980747,981627
ref|NC_001144|,1063647,1063964
ref|NC_001144|,1065425,1065785
ref|NC_001144|,1065988,1066202
ref|NC_001144|,1066352,1067138
ref|NC_001144|,1067288,1071580
ref|NC_001144|,1071719,1078177
ref|NC_001145|,115,3676
ref|NC_001145|,3826,5467
ref|NC_001145|,5647,8362
ref|NC_001145|,168451,168610
ref|NC_001145|,184236,184416
ref|NC_001145|,184566,190012
ref|NC_001145|,196405,198438
ref|NC_001145|,198588,202147
ref|NC_001145|,357078,358261
ref|NC_001145|,358456,358913
ref|NC_001145|,359063,361195
ref|NC_001145|,361345,361475
ref|NC_001145|,361800,361986
ref|NC_001145|,362157,362377
ref|NC_001145|,362661,362845
ref|NC_001145|,372766,374563
ref|NC_001145|,374646,378553
ref|NC_001145|,503843,504069
ref|NC_001145|,504933,504945
ref|NC_001145|,599851,599889
ref|NC_001145|,600618,600811
ref|NC_001145|,602061,602099
ref|NC_001145|,602828,603021
ref|NC_001145|,768621,768807
ref|NC_001145|,874031,874071
ref|NC_001145|,917649,917714
ref|NC_001145|,918572,918600
ref|NC_001145|,918750,919121
ref|NC_001145|,919818,919870
ref|NC_001145|,920047,920060
ref|NC_001145|,920210,920255
ref|NC_001145|,920405,920579
ref|NC_001145|,921116,921131
ref|NC_001145|,921281,921358
ref|NC_001145|,921493,921836
ref|NC_001145|,922754,922808
ref|NC_001146|,1,6550
ref|NC_001146|,7553,7647
ref|NC_001146|,7952,8019
ref|NC_001146|,8102,8679
ref|NC_001146|,8893,8911
ref|NC_001146|,9343,9534
ref|NC_001146|,9767,9855
ref|NC_001146|,10180,10197
ref|NC_001146|,10446,10484
ref|NC_001146|,11207,11357
ref|NC_001146|,11507,11754
ref|NC_001146|,11904,12488
ref|NC_001146|,12672,12838
ref|NC_001146|,13293,13494
ref|NC_001146|,13644,13893
ref|NC_001146|,14137,14245
ref|NC_001146|,14408,14695
ref|NC_001146|,14845,14951
ref|NC_001146|,15101,15170
ref|NC_001146|,15455,15499
ref|NC_001146|,15668,15880
ref|NC_001146|,96682,97993
ref|NC_001146|,98185,98230
ref|NC_001146|,98395,99056
ref|NC_001146|,99321,100869
ref|NC_001146|,101726,101859
ref|NC_001146|,102051,102451
ref|NC_001146|,252598,253012
ref|NC_001146|,253489,253507
ref|NC_001146|,519233,519679
ref|NC_001146|,519829,519962
ref|NC_001146|,520217,520505
ref|NC_001146|,520655,522181
ref|NC_001146|,522328,522349
ref|NC_001146|,522614,523347
ref|NC_001146|,523494,523512
ref|NC_001146|,523729,523827
ref|NC_001146|,524027,524161
ref|NC_001146|,524286,524990
ref|NC_001146|,546812,546951
ref|NC_001146|,561844,561905
ref|NC_001146|,562114,563191
ref|NC_001146|,563482,564611
ref|NC_001146|,564761,566295
ref|NC_001146|,566445,567231
ref|NC_001146|,567381,567591
ref|NC_001146|,567742,567921
ref|NC_001146|,570242,570434
ref|NC_001146|,571455,571544
ref|NC_001146|,571846,571933
ref|NC_001146|,573073,573462
ref|NC_001146|,573612,573856
ref|NC_001146|,598373,598617
ref|NC_001146|,598767,599156
ref|NC_001146|,600318,600405
ref|NC_001146|,600707,600796
ref|NC_001146|,601817,602009
ref|NC_001146|,632337,632416
ref|NC_001146|,726711,726875
ref|NC_001146|,751388,751567
ref|NC_001146|,772929,772950
ref|NC_001146|,775251,775446
ref|NC_001146|,775596,775689
ref|NC_001146|,775848,775899
ref|NC_001146|,781874,782299
ref|NC_001146|,782418,783011
ref|NC_001146|,783151,783350
ref|NC_001147|,2197,2219
ref|NC_001147|,11177,11348
ref|NC_001147|,11735,11780
ref|NC_001147|,22909,23122
ref|NC_001147|,23817,23878
ref|NC_001147|,25518,25782
ref|NC_001147|,26376,26679
ref|NC_001147|,26913,27196
ref|NC_001147|,27339,27420
ref|NC_001147|,27590,27806
ref|NC_001147|,28102,28277
ref|NC_001147|,28427,28448
ref|NC_001147|,28717,28765
ref|NC_001147|,29219,29244
ref|NC_001147|,117772,117966
ref|NC_001147|,118107,118807
ref|NC_001147|,118957,123163
ref|NC_001147|,123289,123555
ref|NC_001147|,160288,160328
ref|NC_001147|,575172,575469
ref|NC_001147|,575619,575904
ref|NC_001147|,576054,577167
ref|NC_001147|,577317,577386
ref|NC_001147|,577536,577555
ref|NC_001147|,594890,600661
ref|NC_001147|,704138,704422
ref|NC_001147|,704572,706346
ref|NC_001147|,706492,709221
ref|NC_001147|,709371,709621
ref|NC_001147|,709766,709953
ref|NC_001147|,854469,854490
ref|NC_001147|,970359,970537
ref|NC_001147|,970690,971010
ref|NC_001147|,971165,972088
ref|NC_001147|,972238,973032
ref|NC_001147|,973182,973737
ref|NC_001147|,974151,976167
ref|NC_001147|,980332,980388
ref|NC_001147|,1071598,1071855
ref|NC_001147|,1072005,1072375
ref|NC_001147|,1072563,1072816
ref|NC_001147|,1074878,1075010
ref|NC_001147|,1075813,1075826
ref|NC_001147|,1075976,1076019
ref|NC_001147|,1076228,1076324
ref|NC_001147|,1076800,1077336
ref|NC_001147|,1077506,1077602
ref|NC_001147|,1078584,1078883
ref|NC_001147|,1079033,1079073
ref|NC_001147|,1079280,1079302
ref|NC_001147|,1079596,1081552
ref|NC_001147|,1081681,1083452
ref|NC_001147|,1083602,1084215
ref|NC_001147|,1084365,1091208
ref|NC_001148|,1,6780
ref|NC_001148|,6930,7543
ref|NC_001148|,7693,9464
ref|NC_001148|,9594,11550
ref|NC_001148|,11843,12569
ref|NC_001148|,12717,12753
ref|NC_001148|,13537,13633
ref|NC_001148|,13803,14339
ref|NC_001148|,14816,14912
ref|NC_001148|,15121,15164
ref|NC_001148|,15314,15327
ref|NC_001148|,16068,16200
ref|NC_001148|,18055,18308
ref|NC_001148|,18497,18867
ref|NC_001148|,19017,19274
ref|NC_001148|,25929,25994
ref|NC_001148|,56525,62302
ref|NC_001148|,62547,62638
ref|NC_001148|,136035,136053
ref|NC_001148|,136203,136369
ref|NC_001148|,174462,174558
ref|NC_001148|,211646,211765
ref|NC_001148|,377411,377573
ref|NC_001148|,377723,377786
ref|NC_001148|,436963,439383
ref|NC_001148|,439530,441501
ref|NC_001148|,441650,443039
ref|NC_001148|,560552,560588
ref|NC_001148|,700668,701280
ref|NC_001148|,701502,701897
ref|NC_001148|,731383,731560
ref|NC_001148|,769393,769423
ref|NC_001148|,804717,810489
ref|NC_001148|,838118,838199
ref|NC_001148|,838679,838895
ref|NC_001148|,844483,846893
ref|NC_001148|,847036,850270
ref|NC_001148|,850702,851346
ref|NC_001148|,851490,852327
ref|NC_001148|,852462,855709
ref|NC_001148|,855859,856042
ref|NC_001148|,856291,856483
ref|NC_001148|,856629,856812
ref|NC_001148|,942724,942735
ref|NC_001148|,942903,943091
ref|NC_001148|,943334,946205
ref|NC_001148|,946332,947977
