!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
ACS1	YAL054C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADA2	YDR448W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADD37	YMR184W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADD37	YMR184W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ADD66	YKL206C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE1	YAR015W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE16	YLR028C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE17	YMR120C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE2	YOR128C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE3	YGR204W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE4	YMR300C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE5,7	YGL234W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE6	YGR061C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADE8	YDR408C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADF1	YCL058W-A	viable 	classical genetics	classical genetics	null	S288C			Li D, et al. (2010) PMID:20195295
ADH1	YOL086C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH2	YMR303C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH3	YMR083W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH3	YMR083W	viable 	classical genetics	classical genetics	null	Other			Young ET and Pilgrim D (1985) PMID:2943982
ADH4	YGL256W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH4	YGL256W	viable 	classical genetics	classical genetics	null	Other			Williamson VM and Paquin CE (1987) PMID:2823079
ADH5	YBR145W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH6	YMR318C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADH7	YCR105W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADI1	YMR009W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADK1	YDR226W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADK1	YDR226W	viable 	classical genetics	classical genetics	null	Other			Konrad M (1988) PMID:2848829
ADK1	YDR226W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
ADK2	YER170W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADO1	YJR105W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADP1	YCR011C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADP1	YCR011C	viable 	classical genetics	classical genetics	null	W303			Purnelle B, et al. (1991) PMID:1789009
ADR1	YDR216W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADY2	YCR010C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADY2	YCR010C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ADY3	YDL239C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADY3	YDL239C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ADY3	YDL239C	viable 	homozygous diploid	classical genetics	null	Other			Moreno-Borchart AC, et al. (2001) PMID:11742972
ADY4	YLR227C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ADY4	YLR227C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
AEP1	YMR064W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AEP2	YMR282C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AEP3	YPL005W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AEP3	YPL005W	viable 	classical genetics	classical genetics	null	Other			Ellis TP, et al. (2004) PMID:14742425
AFB1	YLR040C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFG1	YEL052W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFG3	YER017C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFI1	YOR129C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFI1	YOR129C	viable 	classical genetics	classical genetics	null	S288C			Tsai PC, et al. (2008) PMID:18397879
AFR1	YDR085C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFT1	YGL071W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFT2	YPL202C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AFT2	YPL202C	viable 	classical genetics	classical genetics	null	S288C		Details: mutant strain displays no obvious iron-related phenotypes 	Rutherford JC, et al. (2001) PMID:11734641
AGA1	YNR044W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGA1	YNR044W	viable 	classical genetics	classical genetics	null	W303			Roy A, et al. (1991) PMID:2072914
AGA2	YGL032C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGA2	YGL032C	viable 	classical genetics	classical genetics	null				de Nobel H, et al. (1995) PMID:7770047
AGC1	YPR021C	viable 	classical genetics	classical genetics	null	W303			Cavero S, et al. (2003) PMID:14622413
AGC1	YPR021C	viable 	classical genetics	classical genetics	null	S288C			Cavero S, et al. (2003) PMID:14622413
AGE1	YDR524C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGE2	YIL044C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGP1	YCL025C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGP2	YBR132C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGP3	YFL055W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AGX1	YFL030W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHA1	YDR214W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHC1	YOR023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHC2	YCR082W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHK1	YDL073W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHP1	YLR109W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AHT1	YHR093W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIF1	YNR074C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM10	YER087W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM11	YER093C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM14	YGL160W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM17	YHL021C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM18	YHR198C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM19	YIL087C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM2	YAL049C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM21	YIR003W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM22	YJL046W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM23	YJL131C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM24	YJR080C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM25	YJR100C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM26	YKL037W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM26	YKL037W	viable 	classical genetics	classical genetics	null	S288C			Wysocki R, et al. (1999) PMID:10095102
AIM29	YKR074W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM3	YBR108W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM32	YML050W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM33	YML087C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM34	YMR003W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM36	YMR157C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM39	YOL053W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM4	YBR194W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM4	YBR194W	viable 	classical genetics	classical genetics	null	S288C			Rodriguez-Navarro S, et al. (1999) PMID:10407271
AIM41	YOR215C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM44	YPL158C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
AIM45	YPR004C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM46	YHR199C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM6	YDL237W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM7	YDR063W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIM9	YER080W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIP1	YMR092C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIP1	YMR092C	viable 	classical genetics	classical genetics	null	Other			Iida K and Yahara I (1999) PMID:10231390
AIR1	YIL079C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AIR2	YDL175C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AKL1	YBR059C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AKL1	YBR059C	viable 	classical genetics	classical genetics	null	Other			Caponigro G, et al. (1998) PMID:9636180
AKR1	YDR264C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AKR2	YOR034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALB1	YJL122W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALD2	YMR170C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALD2	YMR170C	viable 	classical genetics	classical genetics	null	S288C			Navarro-Avino JP, et al. (1999) PMID:10407263
ALD3	YMR169C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALD3	YMR169C	viable 	classical genetics	classical genetics	null	S288C			Navarro-Avino JP, et al. (1999) PMID:10407263
ALD4	YOR374W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALD5	YER073W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALD6	YPL061W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALE1	YOR175C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALF1	YNL148C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALF1	YNL148C	viable 	classical genetics	classical genetics	null	Other			Tian G, et al. (1997) PMID:9265649
ALG12	YNR030W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG3	YBL082C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG5	YPL227C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG6	YOR002W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG8	YOR067C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG8	YOR067C	viable 	classical genetics	classical genetics	null	Other			Stagljar I, et al. (1994) PMID:8016100
ALG9	YNL219C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALG9	YNL219C	viable 	classical genetics	classical genetics	null	CEN.PK			Burda P, et al. (1996) PMID:8692962
ALG9	YNL219C	viable 	classical genetics	classical genetics	null	CEN.PK			Brachat A, et al. (2000) PMID:10649453
ALK1	YGL021W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALK1	YGL021W	viable 	classical genetics	classical genetics	null	W303			Nespoli A, et al. (2006) PMID:16855400
ALK2	YBL009W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALK2	YBL009W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ALK2	YBL009W	viable 	classical genetics	classical genetics	null	W303			Nespoli A, et al. (2006) PMID:16855400
ALO1	YML086C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALP1	YNL270C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALR2	YFL050C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALR2	YFL050C	viable 	classical genetics	classical genetics	null	S288C			MacDiarmid CW and Gardner RC (1998) PMID:9430719
ALT1	YLR089C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALT2	YDR111C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALY1	YKR021W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALY1	YKR021W	viable 	classical genetics	classical genetics	null	S288C			Zuniga S, et al. (1999) PMID:10375630
ALY2	YJL084C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ALY2	YJL084C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
AMA1	YGR225W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AMA1	YGR225W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
AMD1	YML035C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AMD1	YML035C	viable 	classical genetics	classical genetics	reduction of function	Other			Meyer SL, et al. (1989) PMID:2690949
AMD2	YDR242W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AMF1	YOR378W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AMF1	YOR378W	viable 	classical genetics	classical genetics	null	S288C		Details: boron tolerance is normal 	Kaya A, et al. (2009) PMID:19414602
AMN1	YBR158W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AMN1	YBR158W	viable 	classical genetics	classical genetics	null	Other			Rose M, et al. (1995) PMID:7483850
AMN1	YBR158W	viable 	classical genetics	classical genetics	null	S288C			Ouspenski II, et al. (1999) PMID:10454593
AMS1	YGL156W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ANB1	YJR047C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ANB1	YJR047C	viable 	classical genetics	classical genetics	null	W303			Wohl T, et al. (1993) PMID:8246884
ANB1	YJR047C	viable 	classical genetics	classical genetics	null	Other			Schnier J, et al. (1991) PMID:1903841
ANP1	YEL036C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ANR2	YKL047W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ANR2	YKL047W	viable 	classical genetics	classical genetics	null	S288C			Wysocki R, et al. (1999) PMID:10095102
ANS1	YHR126C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ANT1	YPR128C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APA1	YCL050C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APA1	YCL050C	viable 	classical genetics	classical genetics	null	X2180-1A			Plateau P, et al. (1989) PMID:2556364
APA2	YDR530C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APC11	YDL008W	viable 	classical genetics	classical genetics	null	Other			Foe IT, et al. (2011) PMID:22079111
APC9	YLR102C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APD1	YBR151W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APE1	YKL103C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APE2	YKL157W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APE3	YBR286W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APE4	YHR113W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
API2	YDR525W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
API2	YDR525W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
APJ1	YNL077W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APJ1	YNL077W	viable 	homozygous diploid	classical genetics	null	S288C			Weeks SA, et al. (2010) PMID:19828623
APL1	YJR005W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APL2	YKL135C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APL3	YBL037W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APL4	YPR029C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APL5	YPL195W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APL6	YGR261C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APM1	YPL259C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APM2	YHL019C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APM3	YBR288C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APM3	YBR288C	viable 	classical genetics	classical genetics	null	S288C		Details: no obvious phenotypes observed in the S288C, W303, or CEN.PK backgrounds 	Duenas E, et al. (1999) PMID:10341424
APM4	YOL062C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APN1	YKL114C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APN2	YBL019W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APN2	YBL019W	viable 	classical genetics	classical genetics	null	Other			Johnson RE, et al. (1998) PMID:9765213
APP1	YNL094W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APQ12	YIL040W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APQ13	YJL075C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APS1	YLR170C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APS2	YJR058C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
