Chromosome,Start,Stop
Ca22chr2A_C_albicans_SC5314,557689,557765
Ca22chr2A_C_albicans_SC5314,557802,557947
Ca22chr2A_C_albicans_SC5314,558084,558113
Ca22chr2A_C_albicans_SC5314,671311,671479
Ca22chr2A_C_albicans_SC5314,671518,671809
Ca22chr2A_C_albicans_SC5314,764109,764160
Ca22chr2A_C_albicans_SC5314,774349,774984
Ca22chr2A_C_albicans_SC5314,1022761,1023052
Ca22chr2A_C_albicans_SC5314,1301870,1301872
Ca22chr2A_C_albicans_SC5314,1357347,1357625
Ca22chr2A_C_albicans_SC5314,1363887,1363902
Ca22chr2A_C_albicans_SC5314,1368104,1368109
Ca22chr2A_C_albicans_SC5314,1459313,1459315
Ca22chr2A_C_albicans_SC5314,1459445,1459473
Ca22chr2A_C_albicans_SC5314,1665266,1665269
Ca22chr2A_C_albicans_SC5314,1665432,1665434
Ca22chr2A_C_albicans_SC5314,1669834,1669840
Ca22chr2A_C_albicans_SC5314,1679071,1679145
Ca22chr2A_C_albicans_SC5314,1770222,1770235
Ca22chr2A_C_albicans_SC5314,1801263,1801272
Ca22chr2A_C_albicans_SC5314,1862291,1864745
Ca22chr2A_C_albicans_SC5314,1998400,1998402
Ca22chr2A_C_albicans_SC5314,1998468,1998469
Ca22chr2A_C_albicans_SC5314,2138675,2138816
Ca22chr2A_C_albicans_SC5314,2145457,2145498
Ca22chr2A_C_albicans_SC5314,2145741,2145768
Ca22chr2A_C_albicans_SC5314,2146300,2146335
Ca22chr2A_C_albicans_SC5314,2146497,2146581
Ca22chr2A_C_albicans_SC5314,2146624,2146644
Ca22chr2A_C_albicans_SC5314,2150696,2150716
Ca22chr2A_C_albicans_SC5314,2151038,2151056
Ca22chr2A_C_albicans_SC5314,2153095,2153123
Ca22chr2A_C_albicans_SC5314,2154820,2154885
Ca22chr3A_C_albicans_SC5314,234618,234792
Ca22chr3A_C_albicans_SC5314,291466,292171
Ca22chr3A_C_albicans_SC5314,295636,295735
Ca22chr3A_C_albicans_SC5314,295887,295892
Ca22chr3A_C_albicans_SC5314,295947,296008
Ca22chr3A_C_albicans_SC5314,478143,478268
Ca22chr3A_C_albicans_SC5314,501245,501264
Ca22chr3A_C_albicans_SC5314,510992,510998
Ca22chr3A_C_albicans_SC5314,526076,526192
Ca22chr3A_C_albicans_SC5314,541237,541238
Ca22chr3A_C_albicans_SC5314,621814,621814
Ca22chr3A_C_albicans_SC5314,621900,621903
Ca22chr3A_C_albicans_SC5314,622031,622054
Ca22chr3A_C_albicans_SC5314,622822,622823
Ca22chr3A_C_albicans_SC5314,1051069,1051094
Ca22chr3A_C_albicans_SC5314,1051237,1051344
Ca22chr3A_C_albicans_SC5314,1166856,1166861
Ca22chr3A_C_albicans_SC5314,1177723,1177899
Ca22chr3A_C_albicans_SC5314,1219624,1219682
Ca22chr3A_C_albicans_SC5314,1404035,1404097
Ca22chr3A_C_albicans_SC5314,1405220,1405221
Ca22chr3A_C_albicans_SC5314,1767729,1767816
Ca22chr3A_C_albicans_SC5314,1798800,1798965
Ca22chr3A_C_albicans_SC5314,1798998,1799298
Ca22chr4A_C_albicans_SC5314,85258,85258
Ca22chr4A_C_albicans_SC5314,207730,207758
Ca22chr4A_C_albicans_SC5314,527338,527361
Ca22chr4A_C_albicans_SC5314,532099,532111
Ca22chr4A_C_albicans_SC5314,532235,532242
Ca22chr4A_C_albicans_SC5314,586037,586116
Ca22chr4A_C_albicans_SC5314,692108,692134
Ca22chr4A_C_albicans_SC5314,745932,746140
Ca22chr4A_C_albicans_SC5314,774339,774566
Ca22chr4A_C_albicans_SC5314,844129,844168
Ca22chr4A_C_albicans_SC5314,847475,847521
Ca22chr4A_C_albicans_SC5314,847825,847896
Ca22chr4A_C_albicans_SC5314,851100,851625
Ca22chr4A_C_albicans_SC5314,898295,898355
Ca22chr4A_C_albicans_SC5314,1159821,1159830
Ca22chr4A_C_albicans_SC5314,1193815,1193831
Ca22chr4A_C_albicans_SC5314,1194381,1194440
Ca22chr4A_C_albicans_SC5314,1196330,1196369
Ca22chr4A_C_albicans_SC5314,1202936,1202957
Ca22chr4A_C_albicans_SC5314,1203048,1203052
Ca22chr4A_C_albicans_SC5314,1203233,1203241
Ca22chr4A_C_albicans_SC5314,1443747,1443887
Ca22chr4A_C_albicans_SC5314,1598449,1598457
Ca22chr4A_C_albicans_SC5314,1598621,1598630
Ca22chr4A_C_albicans_SC5314,1599368,1599379
Ca22chr4A_C_albicans_SC5314,1599858,1599943
Ca22chr4A_C_albicans_SC5314,1602030,1602050
Ca22chr4A_C_albicans_SC5314,1602146,1602152
Ca22chr4A_C_albicans_SC5314,1603258,1603259
Ca22chr5A_C_albicans_SC5314,472195,472197
Ca22chr5A_C_albicans_SC5314,472482,472555
Ca22chr5A_C_albicans_SC5314,472604,472610
Ca22chr5A_C_albicans_SC5314,564890,564891
Ca22chr5A_C_albicans_SC5314,725964,726078
Ca22chr5A_C_albicans_SC5314,727193,727193
Ca22chr5A_C_albicans_SC5314,727458,727458
Ca22chr5A_C_albicans_SC5314,727625,727646
Ca22chr5A_C_albicans_SC5314,727707,727741
Ca22chr5A_C_albicans_SC5314,727848,727898
Ca22chr5A_C_albicans_SC5314,727960,727974
Ca22chr5A_C_albicans_SC5314,728066,728098
Ca22chr5A_C_albicans_SC5314,729146,729170
Ca22chr5A_C_albicans_SC5314,729229,729269
Ca22chr5A_C_albicans_SC5314,866725,866826
Ca22chr5A_C_albicans_SC5314,888192,888195
Ca22chr5A_C_albicans_SC5314,1187198,1187237
Ca22chr5A_C_albicans_SC5314,1187575,1187704
Ca22chr5A_C_albicans_SC5314,1190848,1190869
Ca22chr6A_C_albicans_SC5314,1,2
Ca22chr6A_C_albicans_SC5314,6513,6516
Ca22chr6A_C_albicans_SC5314,198310,198318
Ca22chr6A_C_albicans_SC5314,198380,198634
Ca22chr6A_C_albicans_SC5314,199094,199109
Ca22chr6A_C_albicans_SC5314,199435,200291
Ca22chr6A_C_albicans_SC5314,209237,209258
Ca22chr6A_C_albicans_SC5314,240844,244840
Ca22chr6A_C_albicans_SC5314,475449,475460
Ca22chr6A_C_albicans_SC5314,561907,561917
Ca22chr6A_C_albicans_SC5314,562934,562940
Ca22chr6A_C_albicans_SC5314,633706,633707
Ca22chr6A_C_albicans_SC5314,786665,786719
Ca22chr6A_C_albicans_SC5314,786869,787092
Ca22chr6A_C_albicans_SC5314,787169,787193
Ca22chr6A_C_albicans_SC5314,796514,796641
Ca22chr6A_C_albicans_SC5314,799264,799279
Ca22chr6A_C_albicans_SC5314,799730,799743
Ca22chr6A_C_albicans_SC5314,799894,799941
Ca22chr6A_C_albicans_SC5314,800374,800391
Ca22chr6A_C_albicans_SC5314,800491,800621
Ca22chr6A_C_albicans_SC5314,900965,900991
Ca22chr6A_C_albicans_SC5314,901336,901351
Ca22chr6A_C_albicans_SC5314,902061,902110
Ca22chr6A_C_albicans_SC5314,972656,972696
Ca22chr6A_C_albicans_SC5314,972851,972882
Ca22chr6A_C_albicans_SC5314,973219,973254
Ca22chr6A_C_albicans_SC5314,973580,973665
Ca22chr6A_C_albicans_SC5314,973892,973911
Ca22chr6A_C_albicans_SC5314,974007,974087
Ca22chr6A_C_albicans_SC5314,974322,974346
Ca22chr6A_C_albicans_SC5314,976808,976912
Ca22chr6A_C_albicans_SC5314,977231,977268
Ca22chr6A_C_albicans_SC5314,977337,977455
Ca22chr6A_C_albicans_SC5314,977753,977770
Ca22chr6A_C_albicans_SC5314,978259,978260
Ca22chr6A_C_albicans_SC5314,986889,986970
Ca22chr6A_C_albicans_SC5314,1033291,1033292
Ca22chr7A_C_albicans_SC5314,1,32
Ca22chr7A_C_albicans_SC5314,366259,366271
Ca22chr7A_C_albicans_SC5314,673919,674172
Ca22chr7A_C_albicans_SC5314,674435,674443
Ca22chr7A_C_albicans_SC5314,674480,674496
Ca22chr7A_C_albicans_SC5314,947548,947549
Ca22chr7A_C_albicans_SC5314,949513,949580
Ca22chrRA_C_albicans_SC5314,322111,322111
Ca22chrRA_C_albicans_SC5314,418105,418111
Ca22chrRA_C_albicans_SC5314,440575,440617
Ca22chrRA_C_albicans_SC5314,441616,441618
Ca22chrRA_C_albicans_SC5314,494177,494201
Ca22chrRA_C_albicans_SC5314,494924,495153
Ca22chrRA_C_albicans_SC5314,760858,760869
Ca22chrRA_C_albicans_SC5314,761090,761105
Ca22chrRA_C_albicans_SC5314,763938,763944
Ca22chrRA_C_albicans_SC5314,764203,764370
Ca22chrRA_C_albicans_SC5314,794886,794886
Ca22chrRA_C_albicans_SC5314,795130,795141
Ca22chrRA_C_albicans_SC5314,849575,849587
Ca22chrRA_C_albicans_SC5314,849690,849798
Ca22chrRA_C_albicans_SC5314,850656,850662
Ca22chrRA_C_albicans_SC5314,867368,867368
Ca22chrRA_C_albicans_SC5314,867762,867763
Ca22chrRA_C_albicans_SC5314,882902,882911
Ca22chrRA_C_albicans_SC5314,1013178,1013253
Ca22chrRA_C_albicans_SC5314,1060933,1061041
Ca22chrRA_C_albicans_SC5314,1348367,1348416
Ca22chrRA_C_albicans_SC5314,1351147,1351204
Ca22chrRA_C_albicans_SC5314,1351428,1351442
Ca22chrRA_C_albicans_SC5314,1351726,1351729
Ca22chrRA_C_albicans_SC5314,1352074,1352076
Ca22chrRA_C_albicans_SC5314,1355039,1355081
Ca22chrRA_C_albicans_SC5314,1356600,1356664
Ca22chrRA_C_albicans_SC5314,1358602,1358619
Ca22chrRA_C_albicans_SC5314,1358966,1358987
Ca22chrRA_C_albicans_SC5314,1559952,1559964
Ca22chrRA_C_albicans_SC5314,1568649,1568715
Ca22chrRA_C_albicans_SC5314,1568909,1569106
Ca22chrRA_C_albicans_SC5314,1623812,1623817
Ca22chrRA_C_albicans_SC5314,1623971,1623992
Ca22chrRA_C_albicans_SC5314,1624076,1624083
Ca22chrRA_C_albicans_SC5314,1624161,1624166
Ca22chrRA_C_albicans_SC5314,1624255,1624269
Ca22chrRA_C_albicans_SC5314,1624668,1624675
Ca22chrRA_C_albicans_SC5314,1625231,1625239
Ca22chrRA_C_albicans_SC5314,1625575,1625612
Ca22chrRA_C_albicans_SC5314,1648440,1648450
Ca22chrRA_C_albicans_SC5314,1884204,1884290
Ca22chrRA_C_albicans_SC5314,1897519,1897578
Ca22chrRA_C_albicans_SC5314,2027495,2027520
Ca22chrRA_C_albicans_SC5314,2286233,2286237
