# File name: C_albicans_SC5314_S_cerevisiae_best_hits.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r18
# Date created: Fri Jan 20 11:27:45 2017
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C3_03580C_A	GTT13	CAL0000173921	YIR038C	GTT1	S000001477
C6_03880W_A		CAL0000177286	YNL202W	SPS19	S000005146
C4_04320W_A	FRE10	CAL0000177334	YKL220C	FRE2	S000001703
C2_09280C_A		CAL0000177390	YOL137W	BSC6	S000005497
C3_05170W_A	WOR2	CAL0000177394	YDR207C	UME6	S000002615
CR_02760C_A	RPD3	CAL0000177441	YNL330C	RPD3	S000005274
C1_03890W_A		CAL0000177451	YKL163W	PIR3	S000001646
C4_04530C_A	PHR1	CAL0000177455	YMR307W	GAS1	S000004924
C2_09910C_A		CAL0000177487	YDL232W	OST4	S000002391
C6_00980C_A		CAL0000177509	YJR107W	YJR107W	S000003868
C5_03590W_A	LAP4	CAL0000177511	YKL103C	APE1	S000001586
C3_05610W_A	MNN14	CAL0000177565	YNR059W	MNT4	S000005342
C5_01450W_A	PRC2	CAL0000177583	YBR139W	YBR139W	S000000343
C5_02790C_A	GAP1	CAL0000177621	YKR039W	GAP1	S000001747
C2_02580W_A		CAL0000177657	YOL119C	MCH4	S000005479
C2_01270W_A	CHA1	CAL0000177673	YCL064C	CHA1	S000000569
C1_05410C_A	TRP99	CAL0000177771	YLR109W	AHP1	S000004099
C5_00890C_A	GIT2	CAL0000177809	YCR098C	GIT1	S000000695
CR_03730C_A		CAL0000177875	YDL206W	YDL206W	S000002365
C1_02100W_A		CAL0000177926	YGL216W	KIP3	S000003184
CR_02070C_A	ADH5	CAL0000177934	YMR303C	ADH2	S000004918
CR_10770W_A		CAL0000177995	YAL067C	SEO1	S000000062
C1_06280C_A	UME6	CAL0000177314	YDR207C	UME6	S000002615
C6_00160W_A	PGA48	CAL0000178188	YER150W	SPI1	S000000952
C1_07620C_A	PIR32	CAL0000195669	YKL163W	PIR3	S000001646
C1_08750W_A	YMC2	CAL0000178309	YPR058W	YMC1	S000006262
C1_08210C_A	MLT1	CAL0000178329	YDR135C	YCF1	S000002542
C1_06000W_A		CAL0000178342	YPL265W	DIP5	S000006186
C2_07580W_A		CAL0000178373	YPL092W	SSU1	S000006013
C1_07040C_A		CAL0000178383	YKR013W	PRY2	S000001721
C4_06710W_A		CAL0000178432	YML131W	YML131W	S000004600
C6_01440C_A	FRP5	CAL0000191012	YNR002C	ATO2	S000005285
C4_02390W_A	PGA62	CAL0000178718	YAR050W	FLO1	S000000084
C1_13130C_A		CAL0000178778	YGR191W	HIP1	S000003423
C1_10550C_A	GCA2	CAL0000178794	YBR229C	ROT2	S000000433
C3_07200C_A	ZFU2	CAL0000178818	YDR034C	LYS14	S000002441
C1_02870W_A	YPT7	CAL0000178854	YML001W	YPT7	S000004460
CR_09830W_A		CAL0000178856	YKR105C	VBA5	S000001813
C3_07330W_A		CAL0000178894	YOR120W	GCY1	S000005646
CR_05490W_A	SUA72	CAL0000178962	YPR086W	SUA7	S000006290
C7_01000C_A		CAL0000178988	YLR339C	YLR339C	S000004331
C5_01785W_B	MTLALPHA2	CAL0000202036	YCR039C	MATALPHA2	S000000635
C4_02080W_A		CAL0000179012	YBR104W	YMC2	S000000308
CR_02240C_A	OPT2	CAL0000179020	YPR194C	OPT2	S000006398
C1_07480C_A		CAL0000179105	YDR332W	IRC3	S000002740
C7_03970C_A		CAL0000179115	YJR044C	VPS55	S000003805
C2_05640W_A		CAL0000179117	YKR099W	BAS1	S000001807
C7_02920W_A		CAL0000179259	YDR242W	AMD2	S000002650
C7_00280W_A	HGT12	CAL0000179365	YDL194W	SNF3	S000002353
C1_06690W_A	CYK3	CAL0000179389	YDL117W	CYK3	S000002275
C3_05920W_A	MRR1	CAL0000179436	YKR064W	OAF3	S000001772
C3_03910W_A	HTA1	CAL0000179664	YDR225W	HTA1	S000002633
C1_05600W_A	GSL1	CAL0000179710	YMR306W	FKS3	S000004923
C4_01380W_A	ZCF27	CAL0000179708	YAL051W	OAF1	S000000048
C3_05280C_A		CAL0000179740	YJL196C	ELO1	S000003732
C3_05570W_A	QDR2	CAL0000179742	YIL120W	QDR1	S000001382
CR_00180C_A	CHT1	CAL0000179750	YLR286C	CTS1	S000004276
C6_02710C_A	SAP6	CAL0000179762	YIL015W	BAR1	S000001277
C5_03480C_A		CAL0000179770	YHL016C	DUR3	S000001008
C4_03710C_A		CAL0000179831	YML018C	YML018C	S000004480
C2_02790C_A		CAL0000179851	YDL210W	UGA4	S000002369
CR_02350C_A	GEF2	CAL0000179877	YJR040W	GEF1	S000003801
C6_01510W_A	OYE23	CAL0000179903	YHR179W	OYE2	S000001222
C6_01790C_A	ZCF18	CAL0000179911	YDR034C	LYS14	S000002441
C2_05990C_A		CAL0000179939	YJR019C	TES1	S000003780
C1_10310W_A		CAL0000179945	YHR209W	CRG1	S000001252
C2_06550W_A		CAL0000179981	YKL163W	PIR3	S000001646
C6_03610W_A	FGR17	CAL0000179987	YLR098C	CHA4	S000004088
CM_00230W		CAL0000179993	Q0065	AI4	S000007264
C1_02070W_A	HSP31	CAL0000180035	YCR021C	HSP30	S000000615
CM_00250W		CAL0000180045	Q0045	COX1	S000007260
C1_04320W_A	GPM2	CAL0000180080	YKL152C	GPM1	S000001635
C4_03100W_A	RBT7	CAL0000180106	YPL123C	RNY1	S000006044
C1_03750W_A		CAL0000180110	YPL170W	DAP1	S000006091
C2_07230C_A	ZCF10	CAL0000180150	YMR280C	CAT8	S000004893
C2_00060C_A		CAL0000180180	YGR263C	SAY1	S000003495
C3_01790C_A		CAL0000180239	YBR114W	RAD16	S000000318
CM_00220W		CAL0000180241	Q0065	AI4	S000007264
CR_02490W_A	OPT4	CAL0000180262	YPR194C	OPT2	S000006398
C1_08240C_A		CAL0000180276	YKL128C	PMU1	S000001611
C2_08740W_A		CAL0000180286	YNL218W	MGS1	S000005162
C2_02470C_A	ATO7	CAL0000180296	YCR010C	ADY2	S000000603
C6_03480W_A	YMX6	CAL0000180384	YMR145C	NDE1	S000004753
C4_05130C_A	ALD6	CAL0000180476	YOR374W	ALD4	S000005901
CR_02120C_A		CAL0000180482	YDR146C	SWI5	S000002553
C4_01390W_A	HAP3	CAL0000192077	YBL021C	HAP3	S000000117
C4_02510W_A		CAL0000180528	YOL119C	MCH4	S000005479
CR_05340C_A	IFE2	CAL0000180542	YAL060W	BDH1	S000000056
C6_02160W_A		CAL0000180548	YHR102W	KIC1	S000001144
C5_03270W_A	TEF4	CAL0000180602	YKL081W	TEF4	S000001564
C1_04260W_A	HHT21	CAL0000180612	YNL031C	HHT2	S000004976
C3_03130C_A		CAL0000180622	YDR125C	ECM18	S000002532
C2_01800W_A		CAL0000180636	YIL082W-A	YIL082W-A	S000003537
C1_02010C_A	ZCF24	CAL0000180650	YIL130W	ASG1	S000001392
C7_03220C_A	ZCF29	CAL0000180667	YAL051W	OAF1	S000000048
C2_03590C_A	CAP4	CAL0000180689	YOR028C	CIN5	S000005554
C3_07860C_A	MRR2	CAL0000180700	YAL051W	OAF1	S000000048
C5_00470C_A	KRE62	CAL0000180710	YPR159W	KRE6	S000006363
C4_02490W_A	ZCF15	CAL0000180808	YGL013C	PDR1	S000002981
CR_07270C_A	HGT16	CAL0000180854	YJL219W	HXT9	S000003755
C3_03730C_A	PHB1	CAL0000180864	YGR132C	PHB1	S000003364
C1_02270C_A		CAL0000180860	YNL202W	SPS19	S000005146
CR_09360W_A	FCY24	CAL0000180870	YGL186C	TPN1	S000003154
C4_02180C_A	ZCF26	CAL0000180920	YPL248C	GAL4	S000006169
C2_00810C_A		CAL0000181121	YGL091C	NBP35	S000003059
C5_00910C_A	TRX2	CAL0000181139	YGR209C	TRX2	S000003441
C1_12120W_A		CAL0000181204	YJL141C	YAK1	S000003677
C4_01800W_A		CAL0000181245	YAL049C	AIM2	S000000047
C5_03470C_A		CAL0000181251	YMR221C	YMR221C	S000004834
C2_01330C_A	SIR2	CAL0000181323	YOL068C	HST1	S000005429
C5_01800C_A	HIP1	CAL0000181363	YKR039W	GAP1	S000001747
C2_07830W_A	FLC3	CAL0000181365	YAL053W	FLC2	S000000049
C7_00110W_A	SOD3	CAL0000181372	YHR008C	SOD2	S000001050
C5_04290C_A		CAL0000181390	YOL139C	CDC33	S000005499
C1_10430W_A	PHO8	CAL0000181464	YDR481C	PHO8	S000002889
C6_04610C_A	NAG3	CAL0000181510	YPR156C	TPO3	S000006360
C7_03340C_A	PRR2	CAL0000181633	YDL214C	PRR2	S000002373
C3_04480C_A	RAS2	CAL0000181665	YOR101W	RAS1	S000005627
C2_00730C_A		CAL0000181793	YDL020C	RPN4	S000002178
CR_01270C_A	FTH2	CAL0000181829	YBR207W	FTH1	S000000411
CR_03270W_A		CAL0000181841	YGR260W	TNA1	S000003492
C6_04410C_A		CAL0000181878	YNL134C	YNL134C	S000005078
C3_05510W_A		CAL0000181935	YGR100W	MDR1	S000003332
C3_03440C_A		CAL0000181961	YLL028W	TPO1	S000003951
C7_03600W_A	MNN26	CAL0000182010	YBR015C	MNN2	S000000219
C1_12190W_A	BUL4	CAL0000182032	YML111W	BUL2	S000004579
C2_04480W_A		CAL0000182046	YOL086C	ADH1	S000005446
C4_05430C_A	GAP5	CAL0000182050	YKR039W	GAP1	S000001747
C2_06340W_A	EFH1	CAL0000182054	YMR016C	SOK2	S000004618
C4_01320C_A	OPT6	CAL0000182066	YPR194C	OPT2	S000006398
C4_06900W_A	GST1	CAL0000182119	YNL229C	URE2	S000005173
C1_11700C_A	MRF1	CAL0000182133	YBR026C	ETR1	S000000230
C4_00490W_A		CAL0000182165	YKL191W	DPH2	S000001674
C2_05970C_A	TES1	CAL0000182171	YJR019C	TES1	S000003780
C1_03000W_A	HOL1	CAL0000182173	YNR055C	HOL1	S000005338
C5_02650C_A	IFH1	CAL0000182191	YLR223C	IFH1	S000004213
CR_03580C_A		CAL0000182195	YHR096C	HXT5	S000001138
C2_06320W_A		CAL0000182353	YML117W	NAB6	S000004585
CR_04800W_A	MNT4	CAL0000182375	YNR059W	MNT4	S000005342
C5_01765C_B	PIKALPHA	CAL0000202032	YNL267W	PIK1	S000005211
C1_11120C_A		CAL0000182431	YIL041W	GVP36	S000001303
CR_06770C_A		CAL0000182499	YJL127C	SPT10	S000003663
C5_01745W_B	PAPALPHA	CAL0000202028	YKR002W	PAP1	S000001710
C4_05700W_A	ZCF5	CAL0000195192	YLR256W	HAP1	S000004246
C2_08360C_A	OPT5	CAL0000182685	YPR194C	OPT2	S000006398
C5_02080C_A	HSP12	CAL0000182697	YFL014W	HSP12	S000001880
C3_06820C_A		CAL0000182768	YDR145W	TAF12	S000002552
C2_05360C_A	BIO32	CAL0000182851	YNR058W	BIO3	S000005341
C7_02390W_A	AHP2	CAL0000182888	YLR109W	AHP1	S000004099
C5_01830C_A	HAL9	CAL0000182921	YOL089C	HAL9	S000005449
C2_08390W_A		CAL0000182923	YOR084W	LPX1	S000005610
CR_00210W_A	ALK2	CAL0000182983	YDR402C	DIT2	S000002810
C7_03420C_A	SNG3	CAL0000183065	YGR197C	SNG1	S000003429
CR_05570C_A	RNR3	CAL0000183107	YER070W	RNR1	S000000872
C4_00760W_A	ZCF21	CAL0000183111	YDR034C	LYS14	S000002441
C3_05600W_A	ATO6	CAL0000183179	YCR010C	ADY2	S000000603
C2_08590W_A	YWP1	CAL0000183265	YHR211W	FLO5	S000001254
CM_00070C	COX3A	CAL0000183335	Q0275	COX3	S000007283
CR_08420W_A		CAL0000183386	YNL064C	YDJ1	S000005008
C5_03970W_A		CAL0000183449	YGR263C	SAY1	S000003495
C2_09460C_A		CAL0000183461	YDR034C	LYS14	S000002441
C4_01830C_A		CAL0000183482	YJL172W	CPS1	S000003708
C5_00670C_A	HMS1	CAL0000183504	YOR032C	HMS1	S000005558
CR_02100C_A		CAL0000183543	YGL105W	ARC1	S000003073
C1_02570C_A	PUT4	CAL0000183611	YOR348C	PUT4	S000005875
CR_07070C_A	ALS3	CAL0000183666	YJR004C	SAG1	S000003764
CR_09390C_A		CAL0000183700	YMR088C	VBA1	S000004694
C4_06140C_A		CAL0000183857	YMR155W	YMR155W	S000004764
CR_09270C_A	CBP1	CAL0000184027	YMR020W	FMS1	S000004622
C2_09870W_A		CAL0000184190	YBR147W	RTC2	S000000351
C2_06600W_A		CAL0000196384	YMR216C	SKY1	S000004829
C1_05140W_A	BRG1	CAL0000196982	YMR136W	GAT2	S000004744
C5_04430C_A	YUH2	CAL0000184421	YJR099W	YUH1	S000003860
C1_02110C_A	HGT2	CAL0000184480	YDL138W	RGT2	S000002297
C5_03280W_A	CAM1-1	CAL0000200244	YKL081W	TEF4	S000001564
C1_01140C_A		CAL0000184544	YOR178C	GAC1	S000005704
C1_08170C_A	BUL1	CAL0000184571	YNR069C	BSC5	S000005352
C6_02880W_A		CAL0000184579	YMR234W	RNH1	S000004847
C2_08060W_A		CAL0000184663	YJL127C-B	YJL127C-B	S000028522
C4_00410W_A		CAL0000184680	YKL065C	YET1	S000001548
C3_04350C_A		CAL0000184722	YIL124W	AYR1	S000001386
CR_00130C_A		CAL0000184842	YJL060W	BNA3	S000003596
C5_01400W_A	SEF2	CAL0000184939	YBL066C	SEF1	S000000162
C1_13980C_A	DUR7	CAL0000184959	YHL016C	DUR3	S000001008
CR_03810W_A	PRP13	CAL0000185129	YMR302C	YME2	S000004917
C4_03230C_A		CAL0000185137	YJL113W	YJL113W	S000003649
C3_02080W_A		CAL0000185218	YPR181C	SEC23	S000006385
C4_02530W_A	ARG83	CAL0000185229	YML099C	ARG81	S000004565
CR_02300C_A		CAL0000185237	YPL070W	MUK1	S000005991
C1_13160W_A	PSA2	CAL0000185249	YDL055C	PSA1	S000002213
C2_01970C_A	ROD1	CAL0000190817	YOR018W	ROD1	S000005544
C3_06390W_A		CAL0000185357	YER126C	NSA2	S000000928
CR_09410W_A		CAL0000185383	YJL005W	CYR1	S000003542
C2_06610C_A		CAL0000201211	YCL074W	YCL074W	S000000579
C2_01890W_A	CTF1	CAL0000185418	YIL130W	ASG1	S000001392
C3_00750W_A	LYS144	CAL0000201205	YDR034C	LYS14	S000002441
C4_02370C_A	PGA59	CAL0000185470	YDR134C	YDR134C	S000002541
C3_04630W_A		CAL0000185510	YPR128C	ANT1	S000006332
C4_00480W_A	DUR4	CAL0000185512	YHL016C	DUR3	S000001008
C4_06360C_A		CAL0000185528	YNL202W	SPS19	S000005146
C4_06590W_A		CAL0000185534	YOR254C	SEC63	S000005780
CR_07530C_A	ECM22	CAL0000185536	YDR213W	UPC2	S000002621
C1_07580C_A	PRY1	CAL0000185546	YJL078C	PRY3	S000003614
C4_04990C_A		CAL0000185570	YOL092W	YPQ1	S000005452
C3_01470W_A	ARF3	CAL0000185619	YOR094W	ARF3	S000005620
C5_03650C_A		CAL0000185669	YGR263C	SAY1	S000003495
C3_00030C_A		CAL0000185671	YER190W	YRF1-2	S000000992
C2_04390W_A		CAL0000185673	YKL163W	PIR3	S000001646
C1_05220C_A		CAL0000185681	YNL016W	PUB1	S000004961
CR_03440W_A		CAL0000185777	YOR258W	HNT3	S000005784
C2_03320W_A	CHK1	CAL0000185875	YIL147C	SLN1	S000001409
C2_05950C_A	TES15	CAL0000186022	YJR019C	TES1	S000003780
C1_10810W_A		CAL0000186053	YJL078C	PRY3	S000003614
C1_11020W_A		CAL0000186071	YOR381W	FRE3	S000005908
CM_00030W	COX2	CAL0000186073	Q0250	COX2	S000007281
C2_02640C_A		CAL0000186097	YJL060W	BNA3	S000003596
C1_01840C_A		CAL0000186101	YDL135C	RDI1	S000002294
C7_01050W_A		CAL0000186178	YDR541C	YDR541C	S000002949
C2_05960C_A		CAL0000186313	YJR019C	TES1	S000003780
C6_01520W_A		CAL0000186321	YCR023C	YCR023C	S000000617
C1_11470C_A	DPP1	CAL0000186353	YDR284C	DPP1	S000002692
CR_08700C_A	ARF1	CAL0000186453	YDL192W	ARF1	S000002351
C6_00860W_A	GPX1	CAL0000186690	YIR037W	HYR1	S000001476
CR_05430W_A	CSP1	CAL0000186704	YKL163W	PIR3	S000001646
CR_04870C_A		CAL0000186718	YOR374W	ALD4	S000005901
C7_01670W_A		CAL0000186776	YDR242W	AMD2	S000002650
CR_00850C_A	GSL2	CAL0000186782	YGR032W	GSC2	S000003264
CM_00140C	ATP9	CAL0000186811	Q0130	OLI1	S000007274
C1_14220C_A	FTR2	CAL0000186863	YER145C	FTR1	S000000947
CR_10420W_A		CAL0000186958	YHR194W	MDM31	S000001237
C5_05050W_A	ADH1	CAL0000187038	YMR083W	ADH3	S000004688
C3_03500W_A	SKN2	CAL0000187054	YPR159W	KRE6	S000006363
C2_04280W_A		CAL0000187128	YMR139W	RIM11	S000004747
CR_04990C_A		CAL0000201629	YKL163W	PIR3	S000001646
C4_06380W_A	SOU2	CAL0000187177	YNL202W	SPS19	S000005146
CR_00080W_A	MIS12	CAL0000187257	YBR084W	MIS1	S000000288
C1_01780C_A	HOL4	CAL0000187281	YNR055C	HOL1	S000005338
CM_00210W	COX1	CAL0000187344	Q0045	COX1	S000007260
C1_02720W_A		CAL0000187437	YGL209W	MIG2	S000003177
C7_02800W_A	NIK1	CAL0000187540	YHR206W	SKN7	S000001249
C3_04250W_A	WSC1	CAL0000187597	YNL283C	WSC2	S000005227
C4_00110C_A	FRP1	CAL0000187683	YOR384W	FRE5	S000005911
CR_07300W_A		CAL0000187716	YOR381W	FRE3	S000005908
CR_03280W_A	IFR2	CAL0000187722	YNL134C	YNL134C	S000005078
C2_00050C_A		CAL0000187885	YJL160C	YJL160C	S000003696
CR_05190W_A		CAL0000188044	YKL163W	PIR3	S000001646
C3_02070C_A		CAL0000188086	YLL057C	JLP1	S000003980
CR_02460W_A		CAL0000188094	YIL033C	BCY1	S000001295
C3_03990C_A	AAP1	CAL0000188193	YKR039W	GAP1	S000001747
C1_02580W_A	HNM4	CAL0000188197	YGL077C	HNM1	S000003045
CR_01850C_A		CAL0000188244	YPR194C	OPT2	S000006398
C3_04580C_A	STP1	CAL0000188272	YHR006W	STP2	S000001048
C5_02430W_A	ZCF22	CAL0000188293	YDR213W	UPC2	S000002621
C2_04780W_A		CAL0000188338	YAL011W	SWC3	S000000009
C2_09490W_A	PHO13	CAL0000188358	YDL236W	PHO13	S000002395
C1_11210C_A	HAP43	CAL0000188360	YHL009C	YAP3	S000001001
C1_09220W_A		CAL0000188365	YJR124C	YJR124C	S000003885
C3_02120W_A		CAL0000188377	YGR037C	ACB1	S000003269
C5_02540C_A	SPR28	CAL0000188390	YDR218C	SPR28	S000002626
C4_01200C_A	AAT22	CAL0000188482	YLR027C	AAT2	S000004017
C3_04070C_A	CDR11	CAL0000188523	YOR153W	PDR5	S000005679
CR_02940C_A		CAL0000188622	YOR130C	ORT1	S000005656
C3_01930W_A	PXP2	CAL0000188703	YGL205W	POX1	S000003173
C1_13620W_A	ROB1	CAL0000188719	YOR337W	TEA1	S000005864
CR_05290W_A	MNT3	CAL0000188769	YOR099W	KTR1	S000005625
CR_07160C_A		CAL0000188856	YBR287W	YBR287W	S000000491
C5_02560C_A		CAL0000188870	YLR253W	MCP2	S000004243
C4_02990C_A	GST2	CAL0000188890	YNL229C	URE2	S000005173
C1_01300W_A		CAL0000188904	YGR209C	TRX2	S000003441
C1_05080W_A	GPT1	CAL0000188952	YDL210W	UGA4	S000002369
CM_00170C	ATP8	CAL0000189026	Q0080	ATP8	S000007267
C5_01270W_A	SGE1	CAL0000189139	YKR105C	VBA5	S000001813
C6_00890W_A		CAL0000189188	YDR326C	YSP2	S000002734
C1_09100W_A	ZCF28	CAL0000189226	YLR228C	ECM22	S000004218
C1_07670W_A	ZCF4	CAL0000189382	YDR034C	LYS14	S000002441
C3_05910W_A	ZCF35	CAL0000189436	YKR064W	OAF3	S000001772
C4_06540W_A	MNN4	CAL0000174110	YKL201C	MNN4	S000001684
C2_05550W_A		CAL0000189469	YPL170W	DAP1	S000006091
C1_02670C_A		CAL0000189485	YKL201C	MNN4	S000001684
C5_04410C_A		CAL0000189493	YOR113W	AZF1	S000005639
CR_07060C_A	CRZ2	CAL0000189549	YNL027W	CRZ1	S000004972
C4_06420W_A		CAL0000189547	YHR103W	SBE22	S000001145
C6_03490C_A	SAP1	CAL0000189556	YLR121C	YPS3	S000004111
C2_02570W_A		CAL0000189672	YNR055C	HOL1	S000005338
C1_04700C_A		CAL0000189794	YJR126C	VPS70	S000003887
C1_11710C_A		CAL0000189829	YJL158C	CIS3	S000003694
