Chromosome,Start,Stop
II,78629,80769
II,91676,102633
II,106505,106598
II,111578,111671
II,135623,135690
II,158449,158610
II,464537,464609
II,520313,520389
II,569189,569235
II,579346,579470
II,579631,579655
II,593242,593260
II,593420,593813
II,601335,601345
II,626218,626276
II,626356,626462
II,626563,626930
II,627010,627112
II,627163,627443
II,670437,670453
II,670533,671037
II,671117,671208
II,671292,671449
II,671712,671869
II,676354,676491
II,689062,689097
II,689139,689445
II,689527,689754
II,689820,690497
II,690577,690645
II,690725,691520
II,691600,692378
II,692482,692635
II,692741,692846
II,692966,693459
II,693539,694942
II,695048,695387
II,695475,695787
II,695867,696579
II,696632,696835
II,696887,697020
II,697164,697278
II,697347,697372
II,697460,697735
II,697833,697920
II,697961,697987
II,700481,700493
II,739774,739830
II,739881,740018
II,744786,744797
II,783291,783365
II,846803,846851
II,1033157,1033174
II,1033320,1033348
II,1033414,1033569
II,1033735,1033798
II,1033878,1034057
II,1034137,1034169
II,1044466,1045452
II,1199964,1200021
II,1406617,1406670
II,1504403,1504455
II,1598550,1599965
II,1600045,1601602
II,1602303,1603069
II,1603210,1603245
II,1603743,1604843
II,1604958,1604996
II,1605076,1605268
II,1605348,1613527
II,1613607,1617676
II,1617756,1620394
II,1620453,1620767
II,1627649,1627963
II,1628021,1629612
II,1629742,1630659
II,1630739,1633797
II,1633877,1635297
II,1635377,1638569
II,1638610,1641231
II,1641311,1641579
II,1641659,1642988
II,1643888,1645303
II,1645383,1646940
II,1726731,1726741
II,1731482,1731492
II,1792600,1792622
II,1802456,1802539
II,1802749,1803133
II,1803282,1803327
II,1805820,1805888
II,1805968,1806086
II,1812384,1816723
II,1816800,1817226
II,1826292,1826410
II,1826471,1826558
II,1964909,1965934
II,1966028,1967436
II,1967514,1968660
II,1968740,1969756
II,2012343,2012392
II,2012435,2012450
II,2032443,2032495
II,2080964,2080983
II,2081059,2081115
II,2081195,2081239
II,2081595,2081662
II,2081784,2081854
II,2082057,2082124
II,2091585,2091675
II,2114139,2115383
II,2129247,2132380
II,2132472,2137082
II,2141646,2141953
II,2147766,2148256
II,2148354,2148844
II,2163500,2163537
II,2163617,2163662
II,2163742,2163776
II,2261396,2261456
II,2322812,2322826
II,2340026,2340054
II,2380251,2380271
II,2380335,2380469
II,2426023,2426299
II,2442725,2442781
II,2636875,2637121
II,2808252,2808376
II,2808537,2808561
II,3105861,3106031
II,3106084,3106143
II,3245671,3245687
II,3282967,3283144
II,3350633,3350650
II,3489340,3489614
II,3814170,3814187
II,3938616,3938664
II,3959036,3959047
II,4160994,4161123
II,4161668,4161700
II,4210412,4210463
II,4296707,4296724
II,4296877,4296938
II,4414432,4414482
II,4414679,4414956
II,4415036,4415063
II,4415143,4415156
II,4415236,4415260
II,4415393,4415436
II,4415516,4417271
II,4417351,4419007
II,4422172,4422395
II,4422459,4422645
II,4422725,4422785
II,4422835,4422893
II,4422963,4423485
II,4423565,4423643
II,4423864,4424225
II,4424305,4424531
II,4437697,4437716
II,4445569,4445636
II,4474443,4474857
II,4474982,4475064
II,4492172,4493132
II,4493212,4493249
II,4493329,4493823
II,4493903,4494334
II,4494466,4494773
II,4494853,4494978
II,4495058,4495416
II,4495496,4495850
II,4495930,4496970
II,4497050,4497095
II,4497151,4497251
II,4497316,4501053
II,4501134,4501660
II,4501727,4501750
II,4501837,4502163
II,4502243,4502670
II,4502786,4513043
II,4513166,4513543
II,4513623,4514268
II,4514348,4514725
II,4514805,4515604
II,4515662,4515820
II,4515900,4516216
II,4516328,4516832
II,4516890,4516980
II,4517060,4517221
II,4517301,4517916
II,4517996,4518407
II,4518507,4518927
II,4518979,4519837
II,4519917,4524798
II,4524873,4525597
II,4525677,4525854
II,4525934,4526151
II,4526270,4526779
II,4526859,4527147
II,4527227,4532507
II,4535190,4535225
II,4535865,4535914
II,4537695,4538006
II,4538197,4538267
II,4538381,4538932
II,4539127,4539197
II,4539314,4539525
II,4539611,4539649
III,1,24564
III,24678,28354
III,28434,28641
III,28721,28969
III,29049,30119
III,30199,30580
III,30671,30793
III,33284,33310
III,33817,33927
III,34007,34162
III,34242,34401
III,34481,34494
III,42287,42754
III,42834,43025
III,43155,43424
III,80946,81076
III,83259,83389
III,108598,108631
III,108711,108824
III,112894,112983
III,114507,114591
III,114641,114693
III,174275,174315
III,187137,187407
III,212364,212413
III,212616,212639
III,212778,212842
III,213135,213276
III,213358,213527
III,219024,219190
III,219386,219479
III,219620,219632
III,219762,220177
III,220352,220366
III,220464,220878
III,220969,221294
III,221374,221998
III,222113,222349
III,222416,222713
III,222856,222976
III,227186,227355
III,227437,227578
III,227871,227935
III,228074,228097
III,228300,228349
III,233330,233433
III,243650,244102
III,244224,244252
III,244332,244407
III,244487,244603
III,244767,244912
III,245104,245369
III,257267,257388
III,257442,257462
III,268206,268510
III,268554,268645
III,268782,269103
III,269183,269224
III,269304,269361
III,296744,297176
III,297244,297340
III,297507,297643
III,297698,297958
III,298038,298148
III,298278,298312
III,298373,298531
III,298784,298798
III,381477,381490
III,381568,381602
III,381676,381952
III,382179,382224
III,382373,382757
III,382955,383038
III,427203,427214
III,427985,428004
III,428138,428177
III,428267,428328
III,428582,428874
III,473236,473246
III,486943,487010
III,487110,487485
III,487569,487616
III,487894,487933
III,488014,488084
III,488255,488269
III,488349,488630
III,489109,489202
III,489337,489357
III,489569,489583
III,499986,500030
III,500110,500185
III,523353,523409
III,537407,537834
III,537914,537933
III,538013,538491
III,538571,539007
III,539087,539595
III,539675,539809
III,615526,615578
III,615864,616213
III,616533,616575
III,627255,627658
III,691178,691581
III,701820,702092
III,702235,702269
III,702346,702359
III,777768,782615
III,814874,814901
III,847738,847751
III,853340,853413
III,926179,926232
III,954692,954764
III,959867,960449
III,960632,961248
III,961289,961338
III,961421,961470
III,961978,962534
III,962614,963272
III,1065075,1065116
III,1065201,1065264
III,1065344,1065497
III,1065564,1065683
III,1065808,1065828
III,1069941,1070090
III,1070167,1072048
III,1072128,1079563
III,1079643,1090088
III,1090137,1090449
III,1090535,1097024
III,1098992,1101618
III,1101776,1108334
III,1108414,1108461
III,1108519,1138583
III,1138663,1140544
III,1140622,1140771
III,1196171,1196211
III,1253232,1253248
III,1370050,1370251
III,1400993,1401108
III,1401277,1401294
III,1401367,1401412
III,1466148,1466387
III,1474272,1474339
III,1474398,1474476
III,1475064,1475080
III,1530256,1530330
III,1530379,1530462
III,1574822,1574907
III,1579442,1579489
III,1579716,1579730
III,1579945,1580218
III,1580298,1580835
III,1580960,1581020
III,1581103,1581339
III,1581409,1581706
III,1581780,1581920
III,1582092,1582224
III,1632270,1632342
III,1632478,1632509
III,1645832,1645850
III,1648717,1648735
III,1689803,1689859
III,1690984,1691029
III,1702160,1702230
III,1716314,1716595
III,1738944,1738957
III,1739041,1739400
III,1739467,1739576
III,1739683,1739713
III,1740048,1740147
III,1740219,1740291
III,1776023,1776044
III,1805385,1805528
III,1806003,1806038
III,1806250,1806665
III,1806707,1807087
III,1807154,1807230
III,1807310,1807725
III,1807792,1807850
III,1807930,1808369
III,1808454,1808800
III,1862294,1862318
III,1894291,1894324
III,1894404,1894473
III,2017514,2017694
III,2017774,2017960
III,2018037,2018313
III,2018466,2018509
III,2018658,2019242
III,2019511,2019675
III,2020019,2020122
III,2020202,2020281
III,2020364,2020805
III,2021036,2021140
III,2021321,2021356
III,2040874,2040959
III,2064395,2064565
III,2064645,2064865
III,2064982,2065028
III,2065590,2065620
III,2065663,2065676
III,2072119,2072136
III,2083956,2084015
III,2084093,2084241
III,2108702,2108837
III,2108947,2108973
III,2109626,2109731
III,2110048,2110165
III,2110400,2110410
III,2110538,2110605
III,2110659,2110849
III,2119833,2119969
III,2145165,2145250
III,2145438,2145738
III,2145818,2146004
III,2146082,2146380
III,2146511,2146554
III,2146604,2147057
III,2147137,2147150
III,2147621,2147691
III,2148189,2148464
III,2158829,2159059
III,2180541,2180667
III,2180768,2180794
III,2182283,2182323
III,2182382,2182461
III,2182727,2182976
III,2210722,2210936
III,2219335,2219388
III,2219665,2219712
III,2219792,2219822
III,2219980,2220023
III,2220109,2220307
III,2308199,2308248
III,2319958,2322019
III,2322098,2324797
III,2418751,2418942
III,2419022,2419489
III,2429335,2429348
III,2429428,2429587
III,2429667,2429822
III,2429902,2430012
III,2430516,2430542
III,2430910,2430959
III,2431039,2431069
III,2431192,2431233
III,2433321,2433443
III,2433534,2433915
III,2433995,2434890
III,2434970,2435065
III,2435195,2435393
III,2435473,2435680
III,2435760,2439436
III,2439561,2442927
III,2442999,2443120
III,2443197,2443402
III,2443474,2443531
III,2443602,2447300
III,2447521,2447563
III,2447643,2447703
III,2447889,2447956
III,2448105,2448158
III,2448257,2448281
III,2448352,2448504
III,2448584,2448793
III,2448873,2448912
III,2448992,2449295
III,2449375,2452883
MT,7265,7333
